pilot_n,eval_n,scale,true_omega2,power,mode
7,80,0.13821666546983272,0.00946798961588287,0.16666666666666666,fixed_midpoint
7,80,0.14122285781436938,0.01074010494810498,0.3333333333333333,fixed_midpoint
7,80,0.14422905015890608,0.011215515941867609,0.4166666666666667,fixed_midpoint
7,80,0.16231123670187558,0.013506159366615717,0.5,fixed_midpoint
7,80,0.17482587154793006,0.01637796529384927,0.5,fixed_midpoint
7,80,0.17982996812144456,0.017004644398909727,0.08333333333333333,fixed_midpoint
7,80,0.18483406469495905,0.01895685140346883,0.3333333333333333,fixed_midpoint
7,80,0.20133681952749974,0.02193972179682098,0.6666666666666666,fixed_midpoint
7,80,0.20240112364947854,0.02507868942861885,0.5,fixed_midpoint
7,80,0.20346542777145735,0.021213948221967455,0.8333333333333334,fixed_midpoint
