pilot_n,strength
7,0.0
7,0.36
7,0.4611
7,0.5784
7,0.6499
7,0.6985
7,0.7327
7,0.7599
7,0.7904
7,0.8677
7,0.9053
7,1.0
10,0.0
10,0.2178
10,0.3039
10,0.39
10,0.5547
10,0.6957
10,0.7622
10,0.8668
10,0.8829
10,0.899
10,0.9151
10,1.0
17,0.0
17,0.1231
17,0.3684
17,0.3913
17,0.4141
17,0.5876
17,0.7583
17,0.8566
17,0.8749
17,0.8928
17,0.9107
17,1.0
