pilot_n,pilot_source,scale,true_omega2,power,mode,k_axes,center_shrinkage,pilot_target_omega2
50,simulated,0.0,7.606888830919349e-06,0.0,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.032127002493454265,0.0,0.08333333333333333,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.04765240274847451,0.00020856054155315697,0.08333333333333333,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.12184937373467593,0.0007434788217073746,0.0,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.2547179154520585,0.0032753309305315354,0.16666666666666666,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.28612977178198323,0.004490277025822243,0.16666666666666666,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.2938924719094933,0.00587541898605916,0.16666666666666666,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.3016551720370034,0.005545403506205056,0.3333333333333333,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.39504827744704774,0.009486496169156873,0.4166666666666667,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.4620642493488858,0.012267789706682726,0.5,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.4672393827672259,0.013682812635668111,0.75,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.47241451618556596,0.012935053483519143,0.75,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.47758964960390604,0.013867715951902797,0.75,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.5313468494533301,0.018116428995183363,0.9166666666666666,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.5859866301958045,0.022143416620587896,0.75,dilution,84,0.9180962319475331,0.05792004714080342
50,simulated,0.7909459839500641,0.035001676390689976,1.0,dilution,84,0.9180962319475331,0.05792004714080342
