pilot_n,strength
7,0.0
7,0.229
7,0.3163
7,0.3936
7,0.4785
7,0.5951
7,0.7796
7,0.808
7,0.831
7,0.8541
7,0.9568
7,1.0
10,0.0
10,0.1023
10,0.2046
10,0.2515
10,0.3491
10,0.6556
10,0.7139
10,0.7723
10,0.8097
10,0.8409
10,0.9036
10,1.0
17,0.0
17,0.1432
17,0.2655
17,0.4086
17,0.6088
17,0.6558
17,0.7028
17,0.7288
17,0.7479
17,0.767
17,0.7909
17,1.0
