modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,4,9,0.97,1.0,0.366117737913669,1.0,80
gene,4,9,1.0,1.0,0.4569518663234916,1.0,80
gene,4,9,1.0,1.3,0.4292675943039665,1.0,80
gene,4,9,1.0,1.7,0.4608774250658837,1.0,80
gene,4,10,0.5,1.0,0.0,0.1,80
gene,4,10,0.6,1.0,0.0184401263972356,0.675,80
gene,4,10,0.68,1.0,0.0718839167662445,1.0,80
gene,4,10,0.75,1.0,0.0645588101292427,1.0,80
gene,4,10,0.82,1.0,0.127230764969455,1.0,80
gene,4,10,0.88,1.0,0.2817158572366148,1.0,80
gene,4,10,0.93,1.0,0.3104633950824085,1.0,80
gene,4,10,0.97,1.0,0.3539020250406207,1.0,80
gene,4,10,1.0,1.0,0.4490241659869919,1.0,80
gene,4,10,1.0,1.3,0.4084621768553462,1.0,80
gene,4,10,1.0,1.7,0.4561975268113996,1.0,80
gene,4,11,0.5,1.0,0.0,0.1,80
gene,4,11,0.6,1.0,0.0159079466762571,0.625,80
gene,4,11,0.68,1.0,0.0587742110018267,1.0,80
gene,4,11,0.75,1.0,0.0478129873459957,0.975,80
gene,4,11,0.82,1.0,0.0980842376474628,1.0,80
gene,4,11,0.88,1.0,0.2432554117036547,1.0,80
gene,4,11,0.93,1.0,0.282959321273982,1.0,80
gene,4,11,0.97,1.0,0.2833922440757003,1.0,80
gene,4,11,1.0,1.0,0.4043318125406951,1.0,80
gene,4,11,1.0,1.3,0.393180555013119,1.0,80
gene,4,11,1.0,1.7,0.4149718538776898,1.0,80
gene,4,12,0.5,1.0,0.0,0.1,80
gene,4,12,0.6,1.0,0.0321368526364962,0.9,80
gene,4,12,0.68,1.0,0.0801701504291885,1.0,80
gene,4,12,0.75,1.0,0.084925800941927,1.0,80
gene,4,12,0.82,1.0,0.1636407304326409,1.0,80
gene,4,12,0.88,1.0,0.3002078349880732,1.0,80
gene,4,12,0.93,1.0,0.3116914280049778,1.0,80
gene,4,12,0.97,1.0,0.4130666686279106,1.0,80
gene,4,12,1.0,1.0,0.4693319437920448,1.0,80
gene,4,12,1.0,1.3,0.4588495911009556,1.0,80
gene,4,12,1.0,1.7,0.4756912989986914,1.0,80
gene,4,13,0.5,1.0,0.0,0.125,80
gene,4,13,0.6,1.0,0.0177113537449837,0.6,80
gene,4,13,0.68,1.0,0.0519223667206822,1.0,80
gene,4,13,0.75,1.0,0.0582727072327776,1.0,80
gene,4,13,0.82,1.0,0.0735562978042644,1.0,80
gene,4,13,0.88,1.0,0.178681501614455,1.0,80
gene,4,13,0.93,1.0,0.2627134035112152,1.0,80
gene,4,13,0.97,1.0,0.2609817310496702,1.0,80
gene,4,13,1.0,1.0,0.4307157576346458,1.0,80
gene,4,13,1.0,1.3,0.3353200221651173,1.0,80
gene,4,13,1.0,1.7,0.3789740180986284,1.0,80
gene,4,14,0.5,1.0,0.0,0.125,80
gene,4,14,0.6,1.0,0.0164070523175431,0.675,80
gene,4,14,0.68,1.0,0.0819350135747596,1.0,80
gene,4,14,0.75,1.0,0.0735042531862478,1.0,80
