pilot_n,fit_status,k,x0,power_at_target_omega2,empirical_alpha
4,ok,119.13914252227596,0.017069106990718882,0.9806088781000394,0.013888888888888888
7,ok,161.11529949113583,0.019102959427916857,0.9931591976599399,0.013888888888888888
10,ok,135.48949634454252,0.019444701388247505,0.9843255088347146,0.013888888888888888
30,ok,153.41052062094775,0.020951429926332477,0.9885285508374237,0.013888888888888888
50,ok,136.65289966061593,0.02107267264827185,0.981164618601864,0.013888888888888888
80,ok,111.87585660465211,0.021211142661370735,0.9616087493102493,0.013888888888888888
