workflow,pilot_n,pilot_source,strength,eval_n,true_omega2,power,mode,scenario_index,pool_size_per_group,failed_bootstraps,effect_parameter
protein,10,real,0.3716,80,0.027768710291577927,0.99,labeled_bootstrap,12,180,0,strength=0.372
protein,10,real,0.5179,80,0.054598855564036916,1.0,labeled_bootstrap,13,180,0,strength=0.518
protein,10,real,0.6786,80,0.09241297071995377,1.0,labeled_bootstrap,14,180,0,strength=0.679
protein,10,real,0.8393,80,0.15301172196824478,1.0,labeled_bootstrap,15,180,0,strength=0.839
protein,10,real,1.0,80,0.25502671648080766,1.0,labeled_bootstrap,16,180,0,strength=1
protein,17,real,0.0,17,0.0,0.08,exchangeable_null,0,180,0,strength=0
protein,17,real,0.1014,17,0.0,0.04,labeled_bootstrap,1,180,0,strength=0.101
protein,17,real,0.2229,17,0.01288596539730912,0.28,labeled_bootstrap,2,180,0,strength=0.223
protein,17,real,0.2422,17,0.01118807656716696,0.22,labeled_bootstrap,3,180,0,strength=0.242
protein,17,real,0.2615,17,0.01694653058041748,0.3,labeled_bootstrap,4,180,0,strength=0.262
protein,17,real,0.2808,17,0.018325526194687494,0.33,labeled_bootstrap,5,180,0,strength=0.281
protein,17,real,0.3042,17,0.016004730755649683,0.29,labeled_bootstrap,6,180,0,strength=0.304
protein,17,real,0.3257,17,0.026759973571127367,0.48,labeled_bootstrap,7,180,0,strength=0.326
protein,17,real,0.3291,17,0.015384329626515836,0.26,labeled_bootstrap,8,180,0,strength=0.329
protein,17,real,0.354,17,0.027177899184162767,0.48,labeled_bootstrap,9,180,0,strength=0.354
protein,17,real,0.3788,17,0.031515688647828825,0.5,labeled_bootstrap,10,180,0,strength=0.379
protein,17,real,0.4037,17,0.0420785177580118,0.65,labeled_bootstrap,11,180,0,strength=0.404
protein,17,real,0.4286,17,0.037824144876789687,0.66,labeled_bootstrap,12,180,0,strength=0.429
protein,17,real,0.5714,17,0.06267360221766725,0.84,labeled_bootstrap,13,180,0,strength=0.571
protein,17,real,0.7143,17,0.10973167703487903,0.98,labeled_bootstrap,14,180,0,strength=0.714
protein,17,real,0.8571,17,0.1599241206927219,1.0,labeled_bootstrap,15,180,0,strength=0.857
protein,17,real,1.0,17,0.22212224273433767,1.0,labeled_bootstrap,16,180,0,strength=1
protein,17,real,0.0,80,0.0,0.04,exchangeable_null,0,180,0,strength=0
protein,17,real,0.1014,80,0.0,0.32,labeled_bootstrap,1,180,0,strength=0.101
protein,17,real,0.2229,80,0.01288596539730912,0.88,labeled_bootstrap,2,180,0,strength=0.223
protein,17,real,0.2422,80,0.01118807656716696,0.9,labeled_bootstrap,3,180,0,strength=0.242
protein,17,real,0.2615,80,0.01694653058041748,0.98,labeled_bootstrap,4,180,0,strength=0.262
protein,17,real,0.2808,80,0.018325526194687494,1.0,labeled_bootstrap,5,180,0,strength=0.281
protein,17,real,0.3042,80,0.016004730755649683,0.98,labeled_bootstrap,6,180,0,strength=0.304
protein,17,real,0.3257,80,0.026759973571127367,0.99,labeled_bootstrap,7,180,0,strength=0.326
protein,17,real,0.3291,80,0.015384329626515836,0.98,labeled_bootstrap,8,180,0,strength=0.329
protein,17,real,0.354,80,0.027177899184162767,1.0,labeled_bootstrap,9,180,0,strength=0.354
protein,17,real,0.3788,80,0.031515688647828825,1.0,labeled_bootstrap,10,180,0,strength=0.379
protein,17,real,0.4037,80,0.0420785177580118,1.0,labeled_bootstrap,11,180,0,strength=0.404
protein,17,real,0.4286,80,0.037824144876789687,1.0,labeled_bootstrap,12,180,0,strength=0.429
protein,17,real,0.5714,80,0.06267360221766725,1.0,labeled_bootstrap,13,180,0,strength=0.571
protein,17,real,0.7143,80,0.10973167703487903,1.0,labeled_bootstrap,14,180,0,strength=0.714
protein,17,real,0.8571,80,0.1599241206927219,1.0,labeled_bootstrap,15,180,0,strength=0.857
protein,17,real,1.0,80,0.22212224273433767,1.0,labeled_bootstrap,16,180,0,strength=1
