workflow,eval_n,pilot_n,reference_pilot_n,mean_abs_power_diff,max_abs_power_diff,power_at_target_diff
protein,17,7,17,0.05739021473106189,0.07369018575253528,-0.06867452005141594
protein,17,10,17,0.024658362104512343,0.0357739073639238,-0.01727169882678392
protein,80,7,17,0.06916475610624483,0.310677924250382,-0.03205965214337814
protein,80,10,17,0.053973343979204044,0.30391967950416143,-0.016026296939663842
