pilot_n,eval_n,scale,true_omega2,power,mode
30,80,0.20252943704955248,0.0018882858416817304,0.25,fixed_midpoint
30,80,0.22387106067414192,0.003052850182821045,0.16666666666666666,fixed_midpoint
30,80,0.24521268429873133,0.003134240483355241,0.08333333333333333,fixed_midpoint
30,80,0.3091414061052886,0.004375408313176448,0.25,fixed_midpoint
30,80,0.3445777891237542,0.005056846468811666,0.3333333333333333,fixed_midpoint
30,80,0.44993288171326895,0.010284462386653447,0.75,fixed_midpoint
30,80,0.5198763719717437,0.012770976322327451,0.75,fixed_midpoint
30,80,0.5262697893275229,0.01367506681340171,0.9166666666666666,fixed_midpoint
30,80,0.5347571747707568,0.01528217017099331,0.6666666666666666,fixed_midpoint
30,80,0.6117002179994384,0.02080092065634633,0.9166666666666666,fixed_midpoint
30,80,0.6486120431472182,0.022459019697781815,1.0,fixed_midpoint
30,80,0.685523868294998,0.02423165458885829,0.9166666666666666,fixed_midpoint
