pilot_n,strength,group,edge_mean_ratio,taxon_degree_mean_ratio,function_degree_mean_ratio,connectance_ratio,edge_count_ks,taxon_degree_ks,function_degree_ks,taxon_prevalence_rank_corr,function_prevalence_rank_corr
7,0.0,CD,2.586418072945019,2.1001223776223776,2.0166831805796384,2.5864180729450186,0.35974025974025975,0.35974025974025975,0.36363636363636365,0.6764055667849902,0.7869928482763029
7,0.0,Control,0.6226584384801398,0.6596849902820051,0.6674047119773037,0.6226584384801398,0.35454545454545455,0.35454545454545455,0.3597402597402598,0.9451456328462216,0.9689260545491115
7,0.3925,CD,2.000475082892067,1.6968473193473192,1.6445318305672527,2.0004750828920668,0.22792207792207791,0.22792207792207791,0.22792207792207791,0.7618325814407201,0.8483516031355476
7,0.3925,Control,0.7758206239375584,0.7967893945505885,0.8010813700094569,0.7758206239375584,0.21363636363636362,0.21363636363636362,0.21363636363636362,0.9751827168511176,0.9873223307008596
7,0.5591,CD,1.6663235512446182,1.4626981351981352,1.4265296011890019,1.6663235512446182,0.1506493506493507,0.1506493506493507,0.1506493506493507,0.7741398926672292,0.8602272831412008
7,0.5591,Control,0.8483898771757608,0.8627232388426417,0.8667900168578596,0.8483898771757608,0.1409090909090909,0.1409090909090909,0.1409090909090909,0.976238125886602,0.9879626590567414
7,0.7145,CD,1.5021923095956844,1.3500291375291376,1.323792420113946,1.5021923095956844,0.11428571428571432,0.11428571428571432,0.11428571428571432,0.7858231781917068,0.8706771263114748
7,0.7145,Control,0.9068223717288768,0.9142817851773075,0.9165967682249908,0.9068223717288767,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.9776063839213258,0.9882342336891379
7,0.8203,CD,1.3347528084327211,1.2349533799533798,1.2147262818924944,1.3347528084327211,0.07792207792207795,0.07792207792207795,0.07792207792207795,0.7848978162288529,0.8707012869261842
7,0.8203,Control,0.9314632365264442,0.9367816934981114,0.9394494469799762,0.9314632365264444,0.06818181818181818,0.06818181818181818,0.06818181818181818,0.9775438346953347,0.9882217347594535
7,0.854,CD,1.261919136932746,1.1842482517482518,1.1734580133762695,1.261919136932746,0.06428571428571428,0.06428571428571428,0.06428571428571428,0.784833508292538,0.8706931670570862
7,0.854,Control,0.9594183206837933,0.962901096483186,0.96215821717857,0.9594183206837933,0.04090909090909091,0.04090909090909091,0.04155844155844157,0.977270104871675,0.988108742486092
7,0.8877,CD,1.222999455634186,1.1531643356643357,1.1400359177607133,1.2229994556341859,0.05064935064935061,0.05064935064935061,0.054545454545454564,0.7849470856815137,0.8708087433503886
7,0.8877,Control,0.9625775133478583,0.965891671861821,0.9668784178282143,0.9625775133478582,0.03636363636363636,0.03636363636363636,0.03701298701298705,0.9785267590813247,0.988764969129839
7,1.0,CD,1.000081654872074,0.999458041958042,0.99915159772108,1.000081654872074,0.0032467532467532756,0.0032467532467532756,0.0032467532467532756,0.9981847371048513,0.9974917991028055
7,1.0,Control,0.9986023655038666,0.999044702776046,0.9991283253155709,0.9986023655038667,0.0032467532467532756,0.0032467532467532756,0.0032467532467532756,0.9962586624449655,0.9980598825461212
10,0.0,CD,1.4178430624443596,1.354367064255483,1.3037190082644627,1.4178430624443596,0.20000000000000007,0.25,0.25,0.839006249859312,0.9153428347303798
10,0.0,Control,0.7723777192739364,0.7926142760639495,0.8110539845758354,0.7723777192739365,0.2,0.25000000000000006,0.24999999999999997,0.9355011163301077,0.9621029617024253
10,0.4672,CD,1.2318106667591597,1.1971037811745777,1.1695341848234408,1.2318106667591597,0.11363636363636365,0.13636363636363635,0.13636363636363635,0.9145094271903524,0.9560783601850548
10,0.4672,Control,0.8731971229546398,0.8843626537839553,0.8944379527927085,0.8731971229546398,0.11363636363636365,0.14090909090909093,0.13636363636363635,0.9701769390344374,0.985182953242723
10,0.5338,CD,1.1932584139756974,1.1640316205533598,1.142655897821187,1.1932584139756974,0.09545454545454546,0.11818181818181828,0.11818181818181817,0.9215725618510313,0.9594886096675601
10,0.5338,Control,0.8888073614067794,0.8977503019385478,0.9075601776115916,0.8888073614067795,0.1045454545454545,0.13181818181818183,0.12272727272727271,0.9705945413954314,0.985836777068681
10,0.5754,CD,1.171840495762663,1.1430095491272867,1.1222952667167545,1.1718404957626627,0.08636363636363631,0.1045454545454545,0.09999999999999998,0.9311548538392843,0.9632351166328325
10,0.5754,Control,0.8930523889301774,0.9032875478495833,0.9135896237438653,0.8930523889301775,0.10000000000000003,0.12272727272727274,0.11363636363636362,0.9729815516029757,0.9879103652576154
10,0.808,CD,1.0920074456892466,1.0771800342789184,1.0623403456048084,1.0920074456892466,0.045454545454545525,0.054545454545454564,0.04999999999999993,0.9463255768686939,0.9700993180601556
10,0.808,Control,0.9521206242835728,0.9570633149781991,0.9632040196307549,0.9521206242835729,0.040909090909090895,0.04999999999999999,0.04545454545454544,0.9750370007024883,0.9898834264926741
10,0.8613,CD,1.0568832159827963,1.047116023645458,1.0398196844477836,1.0568832159827963,0.03181818181818186,0.040909090909091006,0.031818181818181746,0.9465761702894238,0.9701899120235545
10,0.8613,Control,0.9697053673775303,0.9734703486110826,0.9772376723533536,0.9697053673775303,0.03181818181818186,0.040909090909090895,0.027272727272727282,0.9752113110030813,0.9899340483417732
10,0.9215,CD,1.0470962968101465,1.0399804120465914,1.0345980465815177,1.0470962968101465,0.022727272727272818,0.027272727272727337,0.027272727272727226,0.9468529667266291,0.970407939097118
10,0.9215,Control,0.9806045070351569,0.9825182698409448,0.9830217340500116,0.9806045070351569,0.018181818181818188,0.022727272727272763,0.02272727272727272,0.9754593530492178,0.9900391337791086
10,1.0,CD,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
10,1.0,Control,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
19,0.0,CD,1.765465946539729,1.6107956057783048,1.54013930655152,1.7654659465397293,0.2925837320574163,0.2925837320574163,0.2925837320574163,0.8462308840091357,0.9169737326648147
19,0.0,Control,0.7056125941136209,0.729550353837779,0.7468905028620669,0.7056125941136209,0.2863636363636364,0.2863636363636364,0.2863636363636364,0.9597668938019677,0.9744674165949753
19,0.3208,CD,1.4952989248027697,1.3915418491543061,1.3511501786310947,1.4952989248027697,0.1834928229665072,0.1834928229665072,0.1834928229665072,0.9058902655489058,0.9520414560575116
