pilot_n,eval_n,scale,true_omega2,power,mode
80,80,0.31783872541515024,0.006368977203321479,0.4166666666666667,fixed_midpoint
80,80,0.3200880637713222,0.006827197064600016,0.9166666666666666,fixed_midpoint
80,80,0.3223374021274942,0.006463860158051687,0.08333333333333333,fixed_midpoint
80,80,0.33581035423761585,0.006203352531785362,0.25,fixed_midpoint
80,80,0.3369350234157018,0.006680054357400403,0.4166666666666667,fixed_midpoint
80,80,0.33805969259378776,0.007277734191233232,0.5,fixed_midpoint
80,80,0.5022285705116242,0.015345956869473093,0.75,fixed_midpoint
80,80,0.5033532396897102,0.017041158364606075,0.8333333333333334,fixed_midpoint
80,80,0.5044779088677962,0.015826847693761786,0.9166666666666666,fixed_midpoint
80,80,0.5629837841551772,0.019947540938179773,0.8333333333333334,fixed_midpoint
80,80,0.5919985052766512,0.02104273606530565,0.8333333333333334,fixed_midpoint
80,80,0.6210132263981251,0.02744252750069225,0.9166666666666666,fixed_midpoint
