pilot_n,strength
7,0.0
7,0.2465
7,0.306
7,0.3643
7,0.4144
7,0.7168
7,0.7332
7,0.7496
7,0.766
7,0.7824
7,0.8809
7,1.0
10,0.0
10,0.2926
10,0.4686
10,0.5589
10,0.6457
10,0.6729
10,0.7
10,0.7479
10,0.7953
10,0.8159
10,0.8365
10,1.0
17,0.0
17,0.0854
17,0.4518
17,0.5764
17,0.5912
17,0.6061
17,0.621
17,0.6359
17,0.8173
17,0.9375
17,0.9687
17,1.0
