modality,panel,pilot,pilot_seed,pi,scale,eval_n,true_omega2,power
gene,b_dense,10,11867,0.84,1.0,50,0.18942186893731136,1.0
gene,b_dense,10,11867,0.88,1.0,50,0.2657306046628124,1.0
gene,b_dense,10,11867,0.91,1.0,50,0.2702712606630577,1.0
gene,b_dense,10,11867,0.96,1.0,50,0.36697110471330174,1.0
gene,b_dense,10,11867,0.98,1.0,50,0.36975789681688237,1.0
gene,b_dense,10,11867,0.94,1.0,50,0.3796643635726561,1.0
gene,b_dense,10,11867,1.0,1.0,50,0.394220797728362,1.0
gene,b_dense,10,11867,1.0,1.6,50,0.4102539782161224,1.0
gene,b_dense,10,11867,1.0,1.2,50,0.4131594565238623,1.0
gene,b_dense,10,11867,1.0,1.3,50,0.41422829491175023,1.0
gene,b_dense,10,11867,1.0,1.1,50,0.4173280659543236,1.0
gene,b_dense,10,11867,1.0,1.45,50,0.42410637090951325,1.0
gene,b_dense,10,11867,1.0,1.8,50,0.46019903668462675,1.0
gene,b_dense,10,11867,0.5,1.0,80,8.143205191709203e-05,0.09
gene,b_dense,10,11867,0.55,1.0,80,0.011747300108331742,0.44
gene,b_dense,10,11867,0.6,1.0,80,0.012385131314089182,0.43
gene,b_dense,10,11867,0.65,1.0,80,0.02809187086723111,0.86
gene,b_dense,10,11867,0.7,1.0,80,0.07763877406469376,1.0
gene,b_dense,10,11867,0.75,1.0,80,0.10796999353275097,1.0
gene,b_dense,10,11867,0.8,1.0,80,0.15841800027760303,1.0
gene,b_dense,10,11867,0.84,1.0,80,0.18942186893731136,1.0
gene,b_dense,10,11867,0.88,1.0,80,0.2657306046628124,1.0
gene,b_dense,10,11867,0.91,1.0,80,0.2702712606630577,1.0
gene,b_dense,10,11867,0.96,1.0,80,0.36697110471330174,1.0
gene,b_dense,10,11867,0.98,1.0,80,0.36975789681688237,1.0
gene,b_dense,10,11867,0.94,1.0,80,0.3796643635726561,1.0
gene,b_dense,10,11867,1.0,1.0,80,0.394220797728362,1.0
gene,b_dense,10,11867,1.0,1.6,80,0.4102539782161224,1.0
gene,b_dense,10,11867,1.0,1.2,80,0.4131594565238623,1.0
gene,b_dense,10,11867,1.0,1.3,80,0.41422829491175023,1.0
gene,b_dense,10,11867,1.0,1.1,80,0.4173280659543236,1.0
gene,b_dense,10,11867,1.0,1.45,80,0.42410637090951325,1.0
gene,b_dense,10,11867,1.0,1.8,80,0.46019903668462675,1.0
