workflow,pilot_n,pilot_source,eval_n,effect_parameter,true_omega2,power,pool_size_per_group,scenario_index
gene,4,real,70,"pi=0.688,scale=1",0.033632593552891464,0.85,180,1
gene,4,real,70,"pi=0.719,scale=1",0.06460721000921306,0.98,180,2
gene,4,real,70,"pi=0.812,scale=1",0.08704234481548184,1.0,180,3
gene,4,real,70,"pi=0.775,scale=1.23",0.11880081142555007,1.0,180,4
gene,4,real,70,"pi=0.775,scale=1.47",0.14816025114718767,1.0,180,5
gene,4,real,70,"pi=0.7,scale=1.7",0.18123488482580116,1.0,180,6
gene,4,real,70,"pi=0.925,scale=1.23",0.22165216321031572,1.0,180,7
gene,4,real,70,"pi=0.85,scale=1.47",0.2833904903093883,1.0,180,8
gene,4,real,70,"pi=0.85,scale=1.7",0.3027973108019206,1.0,180,9
gene,4,real,70,"pi=0.925,scale=1.47",0.3258373840832062,1.0,180,10
gene,4,real,70,"pi=0.925,scale=1.7",0.36791499016232615,1.0,180,11
gene,4,real,70,"pi=1,scale=1.56",0.40363278974874994,1.0,180,12
gene,4,real,80,"pi=0.5,scale=1",0.0,0.07,180,0
gene,4,real,80,"pi=0.688,scale=1",0.033632593552891464,0.92,180,1
gene,4,real,80,"pi=0.719,scale=1",0.06460721000921306,0.97,180,2
gene,4,real,80,"pi=0.812,scale=1",0.08704234481548184,1.0,180,3
gene,4,real,80,"pi=0.775,scale=1.23",0.11880081142555007,1.0,180,4
gene,4,real,80,"pi=0.775,scale=1.47",0.14816025114718767,1.0,180,5
gene,4,real,80,"pi=0.7,scale=1.7",0.18123488482580116,1.0,180,6
gene,4,real,80,"pi=0.925,scale=1.23",0.22165216321031572,1.0,180,7
gene,4,real,80,"pi=0.85,scale=1.47",0.2833904903093883,1.0,180,8
gene,4,real,80,"pi=0.85,scale=1.7",0.3027973108019206,1.0,180,9
gene,4,real,80,"pi=0.925,scale=1.47",0.3258373840832062,1.0,180,10
gene,4,real,80,"pi=0.925,scale=1.7",0.36791499016232615,1.0,180,11
gene,4,real,80,"pi=1,scale=1.56",0.40363278974874994,1.0,180,12
gene,7,real,10,"pi=0.5,scale=1",0.0,0.08,180,0
gene,7,real,10,"pi=0.656,scale=1",0.03538862714133928,0.22,180,1
gene,7,real,10,"pi=0.7,scale=1",0.06460978566417215,0.34,180,2
gene,7,real,10,"pi=0.688,scale=1",0.08640283304828061,0.42,180,3
gene,7,real,10,"pi=0.75,scale=1",0.12052604990777044,0.56,180,4
gene,7,real,10,"pi=0.7,scale=1.47",0.15438536924214075,0.65,180,5
gene,7,real,10,"pi=0.844,scale=1",0.2045443773031634,0.79,180,6
gene,7,real,10,"pi=0.875,scale=1",0.24168243842593853,0.83,180,7
gene,7,real,10,"pi=0.775,scale=1.7",0.2872998271270415,0.94,180,8
gene,7,real,10,"pi=0.925,scale=1.23",0.32697604589014245,0.94,180,9
gene,7,real,10,"pi=0.925,scale=1.47",0.3475779115987451,1.0,180,10
gene,7,real,10,"pi=1,scale=1.28",0.4057348905333319,1.0,180,11
gene,7,real,10,"pi=1,scale=1.47",0.4447826218971382,1.0,180,12
gene,7,real,20,"pi=0.5,scale=1",0.0,0.05,180,0
gene,7,real,20,"pi=0.656,scale=1",0.03538862714133928,0.31,180,1
gene,7,real,20,"pi=0.7,scale=1",0.06460978566417215,0.53,180,2
gene,7,real,20,"pi=0.688,scale=1",0.08640283304828061,0.67,180,3
gene,7,real,20,"pi=0.75,scale=1",0.12052604990777044,0.79,180,4
gene,7,real,20,"pi=0.7,scale=1.47",0.15438536924214075,0.95,180,5
gene,7,real,20,"pi=0.844,scale=1",0.2045443773031634,0.98,180,6
gene,7,real,20,"pi=0.875,scale=1",0.24168243842593853,1.0,180,7
gene,7,real,20,"pi=0.775,scale=1.7",0.2872998271270415,1.0,180,8
gene,7,real,20,"pi=0.925,scale=1.23",0.32697604589014245,1.0,180,9
gene,7,real,20,"pi=0.925,scale=1.47",0.3475779115987451,1.0,180,10
gene,7,real,20,"pi=1,scale=1.28",0.4057348905333319,1.0,180,11
gene,7,real,20,"pi=1,scale=1.47",0.4447826218971382,1.0,180,12
