pilot_n,eval_n,scale,true_omega2,power,mode
30,80,0.08743881077547244,0.006611130339867265,0.0,fixed_midpoint
30,80,0.1192034220973738,0.011507633305155045,0.25,fixed_midpoint
30,80,0.1202107943696649,0.011989645778202792,0.4166666666666667,fixed_midpoint
30,80,0.1241217690738539,0.011555149165366355,0.16666666666666666,fixed_midpoint
30,80,0.125129141346145,0.011321492022055998,0.25,fixed_midpoint
30,80,0.1261365136184361,0.011627273129681797,0.16666666666666666,fixed_midpoint
30,80,0.1515537149729328,0.018642096127511915,0.4166666666666667,fixed_midpoint
30,80,0.18201420870202323,0.025396847399262828,0.75,fixed_midpoint
30,80,0.18663718843222735,0.02507721331699714,0.4166666666666667,fixed_midpoint
30,80,0.1912601681624315,0.029155547400416197,0.5833333333333334,fixed_midpoint
