pilot_n,fit_status,k,x0,power_at_target_omega2,empirical_alpha
7,ok,294.33796058053787,0.009991163978935139,0.9999923141292754,0.041666666666666664
10,ok,311.6372873650352,0.0072319866985872715,0.999998371920208,0.041666666666666664
17,ok,313.2646067561289,0.007105325271823012,0.9999985404536216,0.041666666666666664
30,ok,272.6948968347674,0.009981823707440479,0.999981775991408,0.041666666666666664
50,ok,194.3417978765507,0.009474988686857538,0.9996202826307266,0.041666666666666664
80,ok,241.37908222426466,0.010041093173545746,0.9999352715018248,0.041666666666666664
