pilot_n,eval_n,scale,true_omega2,power,mode
17,80,0.4200260086704398,0.005711309996569275,0.5,fixed_midpoint
17,80,0.4236509266656713,0.004611067511684704,0.4166666666666667,fixed_midpoint
17,80,0.4272758446609027,0.005709300660021108,0.4166666666666667,fixed_midpoint
17,80,0.4413490557012129,0.004862754423353109,0.4166666666666667,fixed_midpoint
17,80,0.4449739736964443,0.006321152514419096,0.3333333333333333,fixed_midpoint
17,80,0.44859889169167577,0.006762276819015559,0.4166666666666667,fixed_midpoint
17,80,0.48479104489030317,0.007329717101172877,0.6666666666666666,fixed_midpoint
17,80,0.49981056945194047,0.007298553259379256,0.5,fixed_midpoint
17,80,0.5148300940135777,0.008334167347534687,0.4166666666666667,fixed_midpoint
17,80,0.6620591219635374,0.01303862585318585,0.8333333333333334,fixed_midpoint
17,80,0.6748165852955923,0.013533979434197733,0.9166666666666666,fixed_midpoint
17,80,0.687574048627647,0.017103600779723026,0.9166666666666666,fixed_midpoint
