pilot_n,strength
7,0.0
7,0.3059
7,0.3428
7,0.4988
7,0.587
7,0.6483
7,0.6632
7,0.6782
7,0.6932
7,0.7081
7,0.8202
7,1.0
10,0.0
10,0.3662
10,0.3971
10,0.428
10,0.6728
10,0.7206
10,0.7653
10,0.8328
10,0.8709
10,0.8902
10,0.9094
10,1.0
17,0.0
17,0.2364
17,0.3065
17,0.347
17,0.7309
17,0.7766
17,0.8113
17,0.8433
17,0.8827
17,0.9276
17,0.9639
17,1.0
