pilot_n,strength,group,edge_mean_ratio,taxon_degree_mean_ratio,function_degree_mean_ratio,connectance_ratio,edge_count_ks,taxon_degree_ks,function_degree_ks,taxon_prevalence_rank_corr,function_prevalence_rank_corr
7,0.0,CD,2.5774823081110503,2.095826923076923,2.01350136239782,2.5774823081110503,0.3592857142857143,0.3592857142857143,0.36,0.7004759553641622,0.8029416323023443
7,0.0,Control,0.6167355807216224,0.6541427995159338,0.6632112166440525,0.6167355807216223,0.36,0.36,0.36,0.9469062824706538,0.9708832262994668
7,0.3059,CD,2.122348938486663,1.7780897435897436,1.7174795640326974,2.122348938486663,0.2542857142857143,0.2542857142857143,0.255,0.7348281685827791,0.8265382942462904
7,0.3059,Control,0.7221319462733736,0.748130294473578,0.7535052012663953,0.7221319462733737,0.265,0.265,0.265,0.9678379206496233,0.9828508810562501
7,0.3428,CD,1.941480675013609,1.6510128205128205,1.6003201634877384,1.9414806750136089,0.2142857142857143,0.2142857142857143,0.21499999999999997,0.7601080502954307,0.8475911249860416
7,0.3428,Control,0.7694699762970766,0.7916155707946753,0.7966259611035731,0.7694699762970767,0.22,0.22,0.22,0.9743116082169814,0.9869542214048703
7,0.4988,CD,1.8395862819814914,1.584378205128205,1.5420027247956403,1.8395862819814912,0.18928571428571428,0.18928571428571428,0.19499999999999995,0.7618842778254082,0.849064664937699
7,0.4988,Control,0.8005984988148538,0.8197115772488907,0.8236635006784262,0.8005984988148538,0.185,0.185,0.19428571428571428,0.974817000882304,0.9872517257345088
7,0.587,CD,1.6133913990201414,1.4243653846153845,1.389175749318801,1.6133913990201414,0.13928571428571435,0.13928571428571435,0.13928571428571435,0.7789339034489985,0.8660788260915968
7,0.587,Control,0.8215413484329733,0.8402258975393303,0.8449389416553597,0.8215413484329733,0.165,0.165,0.16928571428571432,0.975887820055274,0.987799932616821
