pilot_n,eval_n,scale,true_omega2,power,mode
10,80,0.05504957535753126,0.00018072540999643393,0.08333333333333333,fixed_midpoint
10,80,0.07323114242528415,0.0003504842841192692,0.08333333333333333,fixed_midpoint
10,80,0.09141270949303705,0.0006012797400040677,0.08333333333333333,fixed_midpoint
10,80,0.12930205136784745,0.0008272018032980038,0.16666666666666666,fixed_midpoint
10,80,0.1306392361749969,0.0013723966656623244,0.08333333333333333,fixed_midpoint
10,80,0.13197642098214635,0.001303304052260309,0.16666666666666666,fixed_midpoint
10,80,0.1645536087120019,0.0011897535014555277,0.08333333333333333,fixed_midpoint
10,80,0.1799986115232629,0.0019011037913066657,0.0,fixed_midpoint
10,80,0.1954436143345239,0.002271667397236204,0.08333333333333333,fixed_midpoint
10,80,0.23329088336314496,0.003086710099081862,0.4166666666666667,fixed_midpoint
10,80,0.28457097560266537,0.006014429898910237,0.6666666666666666,fixed_midpoint
10,80,0.6194769287840753,0.024419301200633313,1.0,fixed_midpoint
