pilot_n,pilot_source,pi,scale,eval_n,true_omega2,power,mode,n_per_group,search_stage
10,real,1.0,1.3,50,0.42417843842980046,1.0,pcam_raw_pool,50,coarse
10,real,1.0,1.7,50,0.4120790177049944,1.0,pcam_raw_pool,50,coarse
10,real,0.5,1.0,60,0.0,0.07,pcam_raw_pool,60,coarse
10,real,0.6,1.0,60,0.01420576611138587,0.48,pcam_raw_pool,60,coarse
10,real,0.68,1.0,60,0.03870414382985243,0.85,pcam_raw_pool,60,coarse
10,real,0.75,1.0,60,0.15192349390021503,1.0,pcam_raw_pool,60,coarse
10,real,0.82,1.0,60,0.16444912404553844,1.0,pcam_raw_pool,60,coarse
10,real,0.88,1.0,60,0.2583989994662531,1.0,pcam_raw_pool,60,coarse
10,real,0.93,1.0,60,0.2918926671138166,1.0,pcam_raw_pool,60,coarse
10,real,0.97,1.0,60,0.42253097001456624,1.0,pcam_raw_pool,60,coarse
10,real,1.0,1.0,60,0.40671940051245303,1.0,pcam_raw_pool,60,coarse
10,real,1.0,1.3,60,0.4049149067980292,1.0,pcam_raw_pool,60,coarse
10,real,1.0,1.7,60,0.45031728674538607,1.0,pcam_raw_pool,60,coarse
10,real,0.5,1.0,70,0.0,0.11,pcam_raw_pool,70,coarse
10,real,0.6,1.0,70,0.013778747895668146,0.5,pcam_raw_pool,70,coarse
10,real,0.68,1.0,70,0.05391164156519431,0.93,pcam_raw_pool,70,coarse
10,real,0.75,1.0,70,0.12638823735083712,1.0,pcam_raw_pool,70,coarse
10,real,0.82,1.0,70,0.1964216266486461,1.0,pcam_raw_pool,70,coarse
10,real,0.88,1.0,70,0.24504280427056438,1.0,pcam_raw_pool,70,coarse
10,real,0.93,1.0,70,0.30107777967948485,1.0,pcam_raw_pool,70,coarse
10,real,0.97,1.0,70,0.36629222698359054,1.0,pcam_raw_pool,70,coarse
10,real,1.0,1.0,70,0.39274736586595527,1.0,pcam_raw_pool,70,coarse
10,real,1.0,1.3,70,0.4157167707869243,1.0,pcam_raw_pool,70,coarse
10,real,1.0,1.7,70,0.46095240766727424,1.0,pcam_raw_pool,70,coarse
10,real,0.5,1.0,61,0.0,0.12,pcam_raw_pool,61,fine
10,real,0.6,1.0,61,0.04002659054123697,0.81,pcam_raw_pool,61,fine
10,real,0.68,1.0,61,0.028204008687127004,0.68,pcam_raw_pool,61,fine
10,real,0.75,1.0,61,0.11495680451173837,1.0,pcam_raw_pool,61,fine
10,real,0.82,1.0,61,0.1539823986942128,1.0,pcam_raw_pool,61,fine
10,real,0.88,1.0,61,0.2520141646106556,1.0,pcam_raw_pool,61,fine
10,real,0.93,1.0,61,0.28000702152252177,1.0,pcam_raw_pool,61,fine
10,real,0.97,1.0,61,0.379309467416227,1.0,pcam_raw_pool,61,fine
10,real,1.0,1.0,61,0.4160950770372726,1.0,pcam_raw_pool,61,fine
10,real,1.0,1.3,61,0.41338915547454386,1.0,pcam_raw_pool,61,fine
10,real,1.0,1.7,61,0.4646191281827528,1.0,pcam_raw_pool,61,fine
10,real,0.5,1.0,62,0.0,0.07,pcam_raw_pool,62,fine
10,real,0.6,1.0,62,0.005924563924365261,0.2,pcam_raw_pool,62,fine
10,real,0.68,1.0,62,0.07938189735408349,0.98,pcam_raw_pool,62,fine
10,real,0.75,1.0,62,0.13796157594265546,1.0,pcam_raw_pool,62,fine
10,real,0.82,1.0,62,0.15505191840394233,1.0,pcam_raw_pool,62,fine
10,real,0.88,1.0,62,0.3004522615259715,1.0,pcam_raw_pool,62,fine
10,real,0.93,1.0,62,0.30635585670528503,1.0,pcam_raw_pool,62,fine
10,real,0.97,1.0,62,0.39646878152163123,1.0,pcam_raw_pool,62,fine
10,real,1.0,1.0,62,0.45818824107116757,1.0,pcam_raw_pool,62,fine
10,real,1.0,1.3,62,0.3915787937236851,1.0,pcam_raw_pool,62,fine
10,real,1.0,1.7,62,0.44724028759493384,1.0,pcam_raw_pool,62,fine
10,real,0.5,1.0,63,0.0,0.12,pcam_raw_pool,63,plot_context
10,real,0.6,1.0,63,0.03909138831169776,0.79,pcam_raw_pool,63,plot_context
10,real,0.68,1.0,63,0.04364439700303582,0.89,pcam_raw_pool,63,plot_context
10,real,0.75,1.0,63,0.10182167259087022,1.0,pcam_raw_pool,63,plot_context
10,real,0.82,1.0,63,0.1976908242331841,1.0,pcam_raw_pool,63,plot_context
10,real,0.88,1.0,63,0.23150736034218794,1.0,pcam_raw_pool,63,plot_context
10,real,0.93,1.0,63,0.31367730979333536,1.0,pcam_raw_pool,63,plot_context
10,real,0.97,1.0,63,0.38413116784012596,1.0,pcam_raw_pool,63,plot_context
10,real,1.0,1.0,63,0.42613732541107313,1.0,pcam_raw_pool,63,plot_context
10,real,1.0,1.3,63,0.38428150177260234,1.0,pcam_raw_pool,63,plot_context
10,real,1.0,1.7,63,0.44422352343445365,1.0,pcam_raw_pool,63,plot_context
