pilot_n,eval_n,scale,true_omega2,power,mode
80,80,0.09073869745696124,0.007438761742006273,0.0,fixed_midpoint
80,80,0.09905478680175756,0.0072070333126180745,0.16666666666666666,fixed_midpoint
80,80,0.10737087614655387,0.008447161712485867,0.3333333333333333,fixed_midpoint
80,80,0.14260865759263697,0.01674532820408395,0.25,fixed_midpoint
80,80,0.14844679780609638,0.018795518619928894,0.5,fixed_midpoint
80,80,0.1542849380195558,0.01917601994084227,0.4166666666666667,fixed_midpoint
80,80,0.17798723673112174,0.024459116157350334,0.4166666666666667,fixed_midpoint
80,80,0.18236008813936336,0.02535719328629589,0.75,fixed_midpoint
80,80,0.18673293954760498,0.026330380070737732,0.5833333333333334,fixed_midpoint
80,80,0.2061196987321312,0.03210910173731023,0.9166666666666666,fixed_midpoint
