pilot_n,strength,group,kind,edge_mean,taxon_degree_mean,function_degree_mean,connectance
7,0.0,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.0,CD,synthetic,670.0066666666667,232.17666666666668,211.17666666666668,0.04300703939063269
7,0.0,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.0,Control,synthetic,596.17,212.4,193.65,0.03826753963669041
7,0.15,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.15,CD,synthetic,599.8133333333334,210.38,187.99666666666667,0.038501401459229305
7,0.15,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.15,Control,synthetic,731.71,248.44,223.00333333333333,0.04696771294691572
7,0.3,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.3,CD,synthetic,572.7933333333333,202.91666666666666,185.69666666666666,0.036767015426749684
7,0.3,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.3,Control,synthetic,821.0866666666667,277.02666666666664,249.88666666666666,0.05270470933093695
7,0.45,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.45,CD,synthetic,465.47,170.04666666666665,155.09666666666666,0.029878040952564352
7,0.45,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.45,Control,synthetic,847.8,284.93333333333334,257.5366666666667,0.054419410745233966
7,0.6,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.6,CD,synthetic,407.85,153.68666666666667,141.77,0.026179472366647413
7,0.6,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.6,Control,synthetic,904.7533333333333,300.83,268.07666666666665,0.058075186682927875
7,0.75,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.75,CD,synthetic,381.98,146.50666666666666,136.00666666666666,0.024518903652352528
7,0.75,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.75,Control,synthetic,954.6,316.34,283.3833333333333,0.06127479299056422
7,0.9,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.9,CD,synthetic,329.87666666666667,131.16,121.50333333333333,0.021174444230481204
7,0.9,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.9,Control,synthetic,985.5966666666667,328.44,296.12,0.06326443716969425
7,1.0,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,1.0,CD,synthetic,258.5,110.23666666666666,103.84333333333333,0.01659284934848193
7,1.0,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,1.0,Control,synthetic,1094.04,355.04,317.9066666666667,0.07022530329289428
10,0.0,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.0,CD,synthetic,1056.0066666666667,336.4533333333333,304.28,0.06778398271177012
10,0.0,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.0,Control,synthetic,1114.9033333333334,351.84,317.5733333333333,0.07156449921903417
10,0.15,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.15,CD,synthetic,1038.6033333333332,331.6166666666667,301.1333333333333,0.06666688062990778
10,0.15,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.15,Control,synthetic,1151.9833333333333,361.51,322.0566666666667,0.0739446263131994
10,0.3,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.3,CD,synthetic,936.8566666666667,300.44,278.38666666666666,0.06013586665810814
10,0.3,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.3,Control,synthetic,1213.7366666666667,381.11333333333334,341.9033333333333,0.07790850931809915
10,0.45,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.45,CD,synthetic,941.4566666666667,304.66333333333336,276.27,0.060431135930847084
10,0.45,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.45,Control,synthetic,1318.9033333333334,409.26,357.0366666666667,0.08465904957528297
10,0.6,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.6,CD,synthetic,860.9966666666667,279.3566666666667,256.86333333333334,0.055266491216808954
10,0.6,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.6,Control,synthetic,1329.7466666666667,412.20666666666665,361.86,0.08535507199863064
10,0.75,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.75,CD,synthetic,895.8333333333334,292.74666666666667,267.16333333333336,0.05750262104970366
10,0.75,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.75,Control,synthetic,1365.8333333333333,422.38666666666666,368.77666666666664,0.08767143804694354
10,0.9,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.9,CD,synthetic,790.64,260.46,241.59333333333333,0.050750369086590925
10,0.9,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.9,Control,synthetic,1365.28,421.21666666666664,374.4533333333333,0.08763592014891841
10,1.0,CD,real,786.3,259.9,242.0,0.05047178894665896
10,1.0,CD,synthetic,737.37,246.08666666666667,225.54666666666665,0.04733102253032929
10,1.0,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,1.0,Control,synthetic,1471.8633333333332,447.6666666666667,395.27666666666664,0.09447739478357617
19,0.0,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.0,CD,synthetic,989.0066666666667,311.18333333333334,280.91333333333336,0.06348332156535508
19,0.0,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.0,Control,synthetic,1019.52,318.84,290.05,0.06544194107452339
