pilot_n,eval_n,scale,true_omega2,power,mode
10,80,0.1328247795034821,0.009396053666201436,0.3333333333333333,fixed_midpoint
10,80,0.17010347502396111,0.016157605322835906,0.5,fixed_midpoint
10,80,0.18019654039496114,0.01708408497061763,0.5833333333333334,fixed_midpoint
10,80,0.19028960576596118,0.02168717613436761,0.8333333333333334,fixed_midpoint
10,80,0.21127339606781056,0.0256616257831324,0.75,fixed_midpoint
10,80,0.2119901620644299,0.029463192589659664,0.9166666666666666,fixed_midpoint
10,80,0.2127069280610492,0.02911400660798863,0.75,fixed_midpoint
10,80,0.235528718172287,0.03548801325922914,0.8333333333333334,fixed_midpoint
10,80,0.24439661375836796,0.03450818923565256,0.8333333333333334,fixed_midpoint
10,80,0.2532645093444489,0.03991268351285016,0.9166666666666666,fixed_midpoint
