modality,metric,valid_n,baseline,min,q05,median,mean,q95,max,sd,cv_percent,max_abs_delta_vs_baseline,max_rel_delta_percent_vs_baseline,q95_abs_delta_vs_baseline,q95_rel_delta_percent_vs_baseline,corr_sigma,corr_nni,max_abs_corr
gene,omega2,400,0.17455402168099313,0.06245958333016892,0.10310745932879001,0.16400756254724977,0.16034557332228666,0.20669211310189728,0.24804010324195355,0.030881179589175245,19.259140710486346,0.11209443835082421,64.21762000745123,0.07149588045323066,40.959171129206766,0.01665681433304778,-0.3700543448410923,0.3700543448410923
gene,power,400,0.25,0.06,0.14,0.27,0.267025,0.4,0.52,0.07484586919355234,28.029536258235122,0.27,108.0,0.15999999999999998,63.99999999999999,0.023750557126694747,-0.2663600332218451,0.2663600332218451
protein,omega2,400,0.11809530558871223,0.10411937957791141,0.1128162922341691,0.11735573688989528,0.11808563594247332,0.12617278738242974,0.13977786290564378,0.004098399191544282,3.4707008679200078,0.021682557316931556,18.360219492927936,0.008450638406569486,7.155778432040583,0.03421403103678148,-0.07266374363703261,0.07266374363703261
protein,power,400,0.69,0.51,0.65,0.74,0.7405000000000002,0.83,0.89,0.05546115622328893,7.489690239471831,0.20000000000000007,28.985507246376823,0.14,20.289855072463773,0.03616102963942482,0.005009320123210335,0.03616102963942482
