scale,true_omega2,power,mode,modality,combo_index,sigma,nni,eval_n
1.5524279835390948,0.28883167722791836,0.45,enhancement,gene,3,0.75,0.5,4
1.599952968841858,0.3224807723216435,0.4875,enhancement,gene,3,0.75,0.5,4
1.647477954144621,0.33650780103124317,0.6375,enhancement,gene,3,0.75,0.5,4
1.695002939447384,0.3485138295063847,0.5375,enhancement,gene,3,0.75,0.5,4
1.7425279247501473,0.3535537710579893,0.6125,enhancement,gene,3,0.75,0.5,4
1.7900529100529103,0.36271125540718085,0.575,enhancement,gene,3,0.75,0.5,4
2.1382010582010573,0.4604425138037371,0.8125,enhancement,gene,3,0.75,0.5,4
3.61037037037037,0.7083554460941714,0.875,enhancement,gene,3,0.75,0.5,4
8.215873015873015,0.9271672633224667,0.875,enhancement,gene,3,0.75,0.5,4
20.6,0.9872554017144087,0.9,enhancement,gene,3,0.75,0.5,4
0.0,0.0,0.05,dilution,gene,4,1.0,1.0,4
0.5282051282051281,0.04752622916663786,0.1375,dilution,gene,4,1.0,1.0,4
0.9608302808302808,0.13735652661819445,0.125,dilution,gene,4,1.0,1.0,4
1.1125844525844526,0.2020545367504546,0.325,enhancement,gene,4,1.0,1.0,4
1.1846886446886447,0.18847204632639483,0.3,enhancement,gene,4,1.0,1.0,4
1.2567928367928367,0.23644909163667446,0.35,enhancement,gene,4,1.0,1.0,4
1.328897028897029,0.23516988640382994,0.4125,enhancement,gene,4,1.0,1.0,4
1.401001221001221,0.27200115623450644,0.3875,enhancement,gene,4,1.0,1.0,4
1.473105413105413,0.2857821678967081,0.475,enhancement,gene,4,1.0,1.0,4
1.5452096052096052,0.30390299700820367,0.6,enhancement,gene,4,1.0,1.0,4
1.6827106227106226,0.35496680529599883,0.6,enhancement,gene,4,1.0,1.0,4
1.8990231990231987,0.40241813112377217,0.7125,enhancement,gene,4,1.0,1.0,4
3.174261294261294,0.6496273242682347,0.8,enhancement,gene,4,1.0,1.0,4
3.606886446886447,0.7095141410469662,0.7875,enhancement,gene,4,1.0,1.0,4
4.039511599511599,0.7573349096862567,0.8875,enhancement,gene,4,1.0,1.0,4
5.871880341880342,0.8631523537750108,0.825,enhancement,gene,4,1.0,1.0,4
5.98003663003663,0.8680928739239614,0.7875,enhancement,gene,4,1.0,1.0,4
6.088192918192918,0.8727921681123716,0.9,enhancement,gene,4,1.0,1.0,4
6.196349206349207,0.87945316959978,0.8375,enhancement,gene,4,1.0,1.0,4
6.304505494505495,0.8809869624291763,0.875,enhancement,gene,4,1.0,1.0,4
6.635262515262515,0.8931713305122814,0.825,enhancement,gene,4,1.0,1.0,4
20.6,0.9875333716740796,0.85,enhancement,gene,4,1.0,1.0,4
0.0,0.0,0.1,dilution,protein,0,0.0,0.0,7
0.3495574995610846,0.017200163490600953,0.15,dilution,protein,0,0.0,0.0,7
0.3560883541378382,0.01633608386042496,0.1125,dilution,protein,0,0.0,0.0,7
0.36261920871459175,0.01777164926849933,0.1375,dilution,protein,0,0.0,0.0,7
0.3691500632913453,0.018205973821567623,0.15,dilution,protein,0,0.0,0.0,7
0.5098671973695358,0.03366161395771043,0.2375,dilution,protein,0,0.0,0.0,7
0.5997803580541432,0.05337094232370066,0.3625,dilution,protein,0,0.0,0.0,7
0.6259037763611575,0.044050995425112024,0.3125,dilution,protein,0,0.0,0.0,7
0.640332408565613,0.048746559126353416,0.3875,dilution,protein,0,0.0,0.0,7
0.6533941177191203,0.05149796137216892,0.325,dilution,protein,0,0.0,0.0,7
0.82593018281661,0.08129131579183455,0.55,dilution,protein,0,0.0,0.0,7
0.8389918919701173,0.08537054179003437,0.575,dilution,protein,0,0.0,0.0,7
0.8520536011236244,0.08604385177630387,0.6,dilution,protein,0,0.0,0.0,7
0.8651153102771315,0.09595704040165878,0.575,dilution,protein,0,0.0,0.0,7
0.8781770194306388,0.09297257210140687,0.6375,dilution,protein,0,0.0,0.0,7
0.9206528875693694,0.09751304971440046,0.6,dilution,protein,0,0.0,0.0,7
0.9293606936717075,0.11080811843148307,0.65,dilution,protein,0,0.0,0.0,7
0.9380684997740456,0.10662137039335912,0.65,dilution,protein,0,0.0,0.0,7
0.9467763058763836,0.10162876312776206,0.6375,dilution,protein,0,0.0,0.0,7
1.1307540231781084,0.15140077240982397,0.85,enhancement,protein,0,0.0,0.0,7
1.3073908574284434,0.19563532362757968,0.9375,enhancement,protein,0,0.0,0.0,7
1.3204525665819506,0.19288242822496698,0.9375,enhancement,protein,0,0.0,0.0,7
1.368598634043134,0.19803461554633564,0.975,enhancement,protein,0,0.0,0.0,7
1.4579042733717644,0.22169550818488298,1.0,enhancement,protein,0,0.0,0.0,7
0.0,0.00042815453883098063,0.0375,dilution,protein,1,0.25,0.0,7
0.23236505144664707,0.006881724753455759,0.1,dilution,protein,1,0.25,0.0,7
0.23990100933747288,0.006211502831563677,0.075,dilution,protein,1,0.25,0.0,7
0.39719222345412847,0.02038903133365199,0.1625,dilution,protein,1,0.25,0.0,7
0.502608006508355,0.03310942203914491,0.225,dilution,protein,1,0.25,0.0,7
0.5804211531019985,0.04847011736380827,0.275,dilution,protein,1,0.25,0.0,7
0.630631663235059,0.05098247984253799,0.3125,dilution,protein,1,0.25,0.0,7
0.6532395369075367,0.052436994872271575,0.3625,dilution,protein,1,0.25,0.0,7
0.7424617732382212,0.06825192948513167,0.5,dilution,protein,1,0.25,0.0,7
0.7469833479727167,0.07640471418786317,0.475,dilution,protein,1,0.25,0.0,7
0.7515049227072123,0.0653842179873846,0.5,dilution,protein,1,0.25,0.0,7
0.7560264974417077,0.07473548165858163,0.55,dilution,protein,1,0.25,0.0,7
0.7605480721762032,0.07198836700468536,0.475,dilution,protein,1,0.25,0.0,7
0.7650696469106987,0.07763709576411415,0.45,dilution,protein,1,0.25,0.0,7
0.8823852332390432,0.08269576925974537,0.475,dilution,protein,1,0.25,0.0,7
0.889921191129869,0.09583731012952156,0.575,dilution,protein,1,0.25,0.0,7
0.8974571490206948,0.09054054167813277,0.65,dilution,protein,1,0.25,0.0,7
0.9897288194746438,0.11639166168813517,0.7375,dilution,protein,1,0.25,0.0,7
1.0123366931471214,0.12342367368673132,0.8,enhancement,protein,1,0.25,0.0,7
1.1075000683731313,0.14495495981208373,0.775,enhancement,protein,1,0.25,0.0,7
1.1188040052093702,0.13678910129715016,0.8125,enhancement,protein,1,0.25,0.0,7
1.1905708600068858,0.15637303875439365,0.9,enhancement,protein,1,0.25,0.0,7
1.2904661157689958,0.19541604743781468,0.9375,enhancement,protein,1,0.25,0.0,7
0.0,0.00022128687915076118,0.0375,dilution,protein,2,0.5,0.25,7
0.21413557164741948,0.005988955170560574,0.1375,dilution,protein,2,0.5,0.25,7
0.298094396951807,0.01277260054381727,0.125,dilution,protein,2,0.5,0.25,7
0.3129208014203436,0.00841821077353434,0.0625,dilution,protein,2,0.5,0.25,7
0.5449712713581376,0.03818841052688192,0.2625,dilution,protein,2,0.5,0.25,7
0.5597976758266742,0.04256990138141839,0.3125,dilution,protein,2,0.5,0.25,7
0.5746240802952107,0.045925777967383626,0.3375,dilution,protein,2,0.5,0.25,7
0.6552211045863836,0.05901106149977909,0.4,dilution,protein,2,0.5,0.25,7
0.6626343068206519,0.05609994107863519,0.3,dilution,protein,2,0.5,0.25,7
0.6700475090549202,0.05295845981403421,0.375,dilution,protein,2,0.5,0.25,7
0.6774607112891885,0.05126051944280295,0.35,dilution,protein,2,0.5,0.25,7
0.6849601135494366,0.058434660632860964,0.375,dilution,protein,2,0.5,0.25,7
0.6997865180179732,0.06427040134842854,0.3875,dilution,protein,2,0.5,0.25,7
0.7146129224865099,0.06225813041163418,0.5,dilution,protein,2,0.5,0.25,7
0.8018473487781322,0.08594006780507617,0.5625,dilution,protein,2,0.5,0.25,7
0.8166737532466689,0.08510343231273283,0.5625,dilution,protein,2,0.5,0.25,7
1.0487242231844627,0.12490128967090146,0.75,enhancement,protein,2,0.5,0.25,7
1.0635506276529993,0.13014527111825133,0.7875,enhancement,protein,2,0.5,0.25,7
1.078377032121536,0.13184508456199143,0.775,enhancement,protein,2,0.5,0.25,7
