pilot_n,strength,group,edge_mean_ratio,taxon_degree_mean_ratio,function_degree_mean_ratio,connectance_ratio,edge_count_ks,taxon_degree_ks,function_degree_ks,taxon_prevalence_rank_corr,function_prevalence_rank_corr
7,0.0,CD,2.5774823081110503,2.095826923076923,2.01350136239782,2.5774823081110503,0.3592857142857143,0.3592857142857143,0.36,0.7004759553641622,0.8029416323023443
7,0.0,Control,0.6167355807216224,0.6541427995159338,0.6632112166440525,0.6167355807216223,0.36,0.36,0.36,0.9469062824706538,0.9708832262994668
7,0.3925,CD,2.0266467065868263,1.712801282051282,1.6582561307901906,2.0266467065868263,0.23428571428571432,0.23428571428571432,0.23428571428571432,0.7544632726099887,0.8433485591354838
7,0.3925,Control,0.7530069791941005,0.7783440903590156,0.7850542740841249,0.7530069791941005,0.225,0.225,0.22928571428571431,0.9727525971634873,0.9864532040569547
7,0.5591,CD,1.6326918889493738,1.438948717948718,1.4088215258855585,1.6326918889493738,0.14428571428571435,0.14428571428571435,0.14500000000000002,0.777113103535509,0.8627722259535797
7,0.5591,Control,0.8514807742954964,0.8679124647035095,0.8712799638172772,0.8514807742954964,0.13,0.13,0.1442857142857143,0.9769754165582373,0.9882710590015515
7,0.7145,CD,1.4659227000544364,1.321474358974359,1.2974795640326977,1.4659227000544364,0.10428571428571431,0.10428571428571431,0.10999999999999999,0.7843600615136372,0.8700260071937623
7,0.7145,Control,0.8746405056623651,0.888031464300121,0.8908457711442787,0.874640505662365,0.11,0.11,0.11928571428571433,0.9766044995149952,0.9880513546677478
7,0.8203,CD,1.2301823625476318,1.1607884615384616,1.1486103542234332,1.2301823625476318,0.05428571428571427,0.05428571428571427,0.05428571428571427,0.7866707339496878,0.8716174258075485
7,0.8203,Control,0.9233796418224914,0.9297801532876159,0.9327476255088196,0.9233796418224913,0.075,0.075,0.075,0.9774325344761742,0.9881511074978783
7,0.854,CD,1.3135574305933586,1.2191217948717947,1.205068119891008,1.3135574305933586,0.07428571428571429,0.07428571428571429,0.07428571428571429,0.7850878146640369,0.8707465143809622
7,0.854,Control,0.9437924677376877,0.9487555465913674,0.9486567164179105,0.9437924677376877,0.055,0.055,0.055,0.9777972211718102,0.9883800842968093
7,0.8877,CD,1.1205525313010343,1.0846858974358973,1.0783242506811987,1.1205525313010343,0.02928571428571425,0.02928571428571425,0.02928571428571425,0.7866764242645309,0.8716285719498584
7,0.8877,Control,0.9576283908348697,0.9611093182734973,0.9624604251469924,0.9576283908348697,0.04,0.04,0.04,0.9791549152111728,0.9889616986532906
7,1.0,CD,1.0106559608056613,1.008,1.0075613079019075,1.0106559608056613,0.004285714285714337,0.004285714285714337,0.004285714285714337,0.9990898836376755,0.9987291178386802
7,1.0,Control,0.9993712141164076,0.9998507462686566,0.9989167797376753,0.9993712141164076,0.004285714285714282,0.004285714285714282,0.004285714285714282,0.9961477280435894,0.9979011728997291
