modality,split,metric,value
protein,52,source_r2,0.014448765934746755
protein,53,abundance,0.11130363877280604
protein,53,prevalence,0.34359392518601567
protein,53,distance,0.12222222222222222
protein,53,dispersion,0.33746130030959753
protein,53,omega2,0.6299847176925388
protein,53,deff,0.2122304903091896
protein,53,tf_topology,0.26006191950464397
protein,53,source_r2,0.021424214638758945
protein,54,abundance,0.12424829273264702
protein,54,prevalence,0.4282947711752115
protein,54,distance,0.21388888888888888
protein,54,dispersion,0.4086687306501548
protein,54,omega2,36.39838149692184
protein,54,deff,0.34303466124038834
protein,54,tf_topology,0.23182316020369
protein,54,source_r2,0.01815644506966975
protein,55,abundance,0.09540311894811945
protein,55,prevalence,0.29263072061971257
protein,55,distance,0.12222222222222222
protein,55,dispersion,0.23839009287925697
protein,55,omega2,0.6825515515347989
protein,55,deff,0.15376817848028507
protein,55,tf_topology,0.1393188854489164
protein,55,source_r2,0.014843056503754302
protein,56,abundance,0.15207420242584854
protein,56,prevalence,0.258077667923759
protein,56,distance,0.4
protein,56,dispersion,0.4613003095975232
protein,56,omega2,38.04054153309063
protein,56,deff,0.012139819964506714
protein,56,tf_topology,0.2631578947368421
protein,56,source_r2,0.0198797578498445
protein,57,abundance,0.20150851085516258
protein,57,prevalence,0.20150851085516258
protein,57,distance,0.29996141975308643
protein,57,dispersion,0.3653250773993808
protein,57,omega2,36.271809832292256
protein,57,deff,0.3343943073993189
protein,57,tf_topology,0.5144927011666068
protein,57,source_r2,0.04659333843580067
protein,58,abundance,0.11905004586688411
protein,58,prevalence,0.3989399653450209
protein,58,distance,0.15354938271604937
protein,58,dispersion,0.30959752321981426
protein,58,omega2,1.3961339633768157
protein,58,deff,0.09823391267681739
protein,58,tf_topology,0.2043343653250774
protein,58,source_r2,0.01171828307247469
protein,59,abundance,0.07766792375904596
protein,59,prevalence,0.3635715013760065
protein,59,distance,0.17222222222222222
protein,59,dispersion,0.2786377708978328
protein,59,omega2,36.24281480295733
protein,59,deff,0.19927604762059725
protein,59,tf_topology,0.1609907120743034
protein,59,source_r2,0.014261469578949462
protein,60,abundance,0.35225766996228725
protein,60,prevalence,0.34756905514218733
protein,60,distance,0.29444444444444445
protein,60,dispersion,0.20123839009287925
protein,60,omega2,4.767433041667403
protein,60,deff,0.2599755456129375
protein,60,tf_topology,0.943147285517574
