workflow,eval_n,pilot_n,reference_pilot_n,mean_abs_power_diff,max_abs_power_diff,power_at_target_diff
gene,10,4,10,0.005815652131577753,0.009999999999999995,0.0018558878186139688
gene,10,7,10,0.03288529646152919,0.051248922996804974,0.04029794409161104
protein,17,7,17,0.05739021484963571,0.07369018602619914,-0.06867451978603678
protein,17,10,17,0.024658362328223347,0.03577390910808248,-0.01727169815089946
gene,80,4,10,0.23260623926785737,0.5011529234082526,-0.0929894915926085
gene,80,7,10,0.07523559298440492,0.1309506264688261,0.07641029323841586
protein,80,7,17,0.06916476162310486,0.3106779563341218,-0.032059652549290996
protein,80,10,17,0.053973350188359616,0.3039197139637602,-0.016026297850661675
