pilot_n,strength,group,kind,edge_mean,taxon_degree_mean,function_degree_mean,connectance
7,0.0,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.0,CD,synthetic,675.8266666666667,233.27666666666667,210.56666666666666,0.04338061920961979
7,0.0,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.0,Control,synthetic,668.26,231.30666666666667,209.40666666666667,0.042894922652288336
7,0.1,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.1,CD,synthetic,626.52,218.88666666666666,198.40333333333334,0.040215674947044096
7,0.1,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.1,Control,synthetic,713.2933333333333,244.36333333333334,219.92333333333335,0.045785566039754366
7,0.2,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.2,CD,synthetic,587.4866666666667,207.25333333333333,187.89333333333335,0.03771016539358538
7,0.2,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.2,Control,synthetic,746.1366666666667,254.48,229.43666666666667,0.047893745854462204
7,0.3,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.3,CD,synthetic,557.5233333333333,198.18666666666667,180.06333333333333,0.03578684981920106
7,0.3,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.3,Control,synthetic,783.32,265.66,239.26666666666668,0.050280505809102
7,0.4,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.4,CD,synthetic,500.5833333333333,181.51333333333332,165.70333333333335,0.03213192973447162
7,0.4,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.4,Control,synthetic,831.2966666666666,279.1533333333333,250.49666666666667,0.053360078738472726
7,0.5,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.5,CD,synthetic,452.02,167.38333333333333,153.39,0.029014699274664612
7,0.5,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.5,Control,synthetic,886.01,295.56666666666666,265.13666666666666,0.05687207137813723
7,0.6,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.6,CD,synthetic,451.17333333333335,167.05333333333334,153.18666666666667,0.02896035261142136
7,0.6,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.6,Control,synthetic,893.29,297.82666666666665,267.0466666666667,0.05733936709673278
7,0.7,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.7,CD,synthetic,379.83,146.20666666666668,135.22,0.024380897361833236
7,0.7,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.7,Control,synthetic,961.5566666666666,317.73333333333335,284.29,0.06172133427477159
7,0.8,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.8,CD,synthetic,348.62,137.22666666666666,127.38333333333334,0.02237755953527184
7,0.8,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.8,Control,synthetic,1001.7266666666667,329.6433333333333,294.68,0.06429980529345058
7,0.9,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,0.9,CD,synthetic,293.1166666666667,120.32666666666667,112.66666666666667,0.01881485760746304
7,0.9,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,0.9,Control,synthetic,1055.5333333333333,345.50666666666666,308.4266666666667,0.06775359993153177
7,1.0,CD,real,262.42857142857144,111.42857142857143,104.85714285714286,0.01684502031122482
7,1.0,CD,synthetic,263.24,111.73666666666666,105.15,0.01689710507734771
7,1.0,Control,real,1084.857142857143,354.14285714285717,315.85714285714283,0.06963586512979927
7,1.0,Control,synthetic,1083.4166666666667,353.7366666666667,315.6433333333333,0.06954340244346022
10,0.0,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.0,CD,synthetic,1114.85,352.0,315.5,0.07156107580717633
10,0.0,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.0,Control,synthetic,1114.85,352.0,315.5,0.07156107580717633
10,0.1,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.1,CD,synthetic,1076.7266666666667,340.75,306.8466666666667,0.06911397821854205
10,0.1,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.1,Control,synthetic,1138.0266666666666,358.91333333333336,320.94666666666666,0.07304876222265015
10,0.2,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.2,CD,synthetic,1066.4833333333333,338.63666666666666,305.3433333333333,0.06845646917859512
10,0.2,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.2,Control,synthetic,1176.3733333333332,369.22,329.24666666666667,0.07551019534843913
10,0.3,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.3,CD,synthetic,1010.8033333333333,322.8,292.39666666666665,0.0648824271990072
10,0.3,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.3,Control,synthetic,1204.1733333333334,376.63,335.10333333333335,0.07729464877933971
10,0.4,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.4,CD,synthetic,977.0833333333334,313.23,284.8233333333333,0.06271797505188609
10,0.4,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.4,Control,synthetic,1253.7966666666666,391.08666666666664,346.48,0.08047991954982134
10,0.5,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.5,CD,synthetic,958.46,308.29,280.52,0.0615225624237756
10,0.5,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.5,Control,synthetic,1294.24,401.93,354.77,0.08307593555427177
10,0.6,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.6,CD,synthetic,916.08,296.33,271.36,0.058802233776237244
10,0.6,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.6,Control,synthetic,1328.0266666666666,412.0833333333333,362.8333333333333,0.0852446669662152
10,0.7,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.7,CD,synthetic,882.52,286.57666666666665,263.06666666666666,0.056648051864689644
10,0.7,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.7,Control,synthetic,1344.8566666666666,416.71666666666664,367.03333333333336,0.08632496737060573
10,0.8,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.8,CD,synthetic,858.6,280.3933333333333,258.87,0.055112651646447144
10,0.8,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.8,Control,synthetic,1398.05,430.7966666666667,378.7866666666667,0.08973939277232171
10,0.9,CD,real,786.3,259.9,242.0,0.05047178894665896
10,0.9,CD,synthetic,833.0066666666667,272.92333333333335,252.15666666666667,0.05346984188116482
10,0.9,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,0.9,Control,synthetic,1406.3933333333334,434.1066666666667,381.26,0.09027494276483301
10,1.0,CD,real,786.3,259.9,242.0,0.05047178894665896
10,1.0,CD,synthetic,786.3,259.9,242.0,0.05047178894665896
10,1.0,Control,real,1443.4,444.1,389.0,0.09265036266769369
10,1.0,Control,synthetic,1443.4,444.1,389.0,0.09265036266769369
19,0.0,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.0,CD,synthetic,1019.9033333333333,319.0833333333333,287.92,0.06546654684725164
19,0.0,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.0,Control,synthetic,1011.92,317.15,286.5233333333333,0.06495410488478079
19,0.1,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.1,CD,synthetic,990.4833333333333,311.42333333333335,281.68,0.0635781072811691
19,0.1,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.1,Control,synthetic,1075.7566666666667,333.4266666666667,298.2366666666667,0.06905171491537754
19,0.2,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.2,CD,synthetic,948.88,299.24,271.04,0.06090763206881058
19,0.2,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.2,Control,synthetic,1095.2,340.07666666666665,305.6666666666667,0.07029976250080236
19,0.3,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.3,CD,synthetic,869.0466666666666,277.9033333333333,254.53,0.0557832124441021
19,0.3,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.3,Control,synthetic,1129.5233333333333,348.82666666666665,312.10333333333335,0.07250294199456533
19,0.4,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.4,CD,synthetic,838.9033333333333,270.33,246.46333333333334,0.05384834285469756
19,0.4,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.4,Control,synthetic,1172.72,360.52,323.14666666666665,0.07527569163617691
19,0.5,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.5,CD,synthetic,806.7066666666667,260.99,238.39,0.05178167190876608
19,0.5,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.5,Control,synthetic,1222.2033333333334,374.7733333333333,334.87333333333333,0.0784519759505317
19,0.6,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.6,CD,synthetic,744.07,243.90333333333334,224.75666666666666,0.0477610886449708
19,0.6,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.6,Control,synthetic,1291.43,393.21,350.17333333333335,0.08289556454201169
19,0.7,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.7,CD,synthetic,737.8733333333333,242.75666666666666,224.02,0.04736333097973768
19,0.7,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.7,Control,synthetic,1325.55,402.39,357.57666666666665,0.08508569227806663
19,0.8,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.8,CD,synthetic,684.54,227.24333333333334,210.63,0.043939919121894856
19,0.8,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.8,Control,synthetic,1361.5233333333333,412.92,366.81333333333333,0.0873947835761816
19,0.9,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,0.9,CD,synthetic,622.5833333333334,211.34,197.43333333333334,0.03996298435928708
19,0.9,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,0.9,Control,synthetic,1404.9766666666667,423.66333333333336,375.9633333333333,0.09018400838735906
19,1.0,CD,real,574.9473684210526,197.73684210526315,186.1578947368421,0.03690528072540295
19,1.0,CD,synthetic,570.85,196.38,184.72666666666666,0.03664227485717954
19,1.0,Control,real,1461.0,439.4736842105263,388.6842105263158,0.09378008858078182
19,1.0,Control,synthetic,1459.2133333333334,439.16333333333336,388.3933333333333,0.09366540428354408
