pilot_n,eval_n,scale,true_omega2,power,mode
4,80,0.17515622320988405,0.0027305256926834403,0.16666666666666666,fixed_midpoint
4,80,0.22799586594624638,0.0054671861839111794,0.3333333333333333,fixed_midpoint
4,80,0.306856025922069,0.006346481858779688,0.3333333333333333,fixed_midpoint
4,80,0.32381282052887617,0.008661602462803454,0.25,fixed_midpoint
4,80,0.34076961513568327,0.007978759878938597,0.08333333333333333,fixed_midpoint
4,80,0.4068007267991872,0.01071976110000866,0.5,fixed_midpoint
4,80,0.4814096608905153,0.015779956994742727,0.25,fixed_midpoint
4,80,0.5520888971206762,0.02119536203543293,0.4166666666666667,fixed_midpoint
4,80,0.5671237399271942,0.024258588642848935,0.8333333333333334,fixed_midpoint
4,80,0.5821585827337121,0.02382150001399587,0.8333333333333334,fixed_midpoint
