modality,kind,distance
protein,within_real,1.5590209593486475
protein,within_real,1.0801589183480504
protein,within_real,1.7894780382019597
protein,within_real,1.760352109758693
protein,within_real,1.600210299655163
protein,within_real,1.7326383631155433
protein,within_real,1.1716479490463203
protein,within_real,1.57060385577517
protein,within_real,1.8259291639860922
protein,within_real,0.9547910793476504
protein,within_real,0.8694973207696334
protein,within_real,0.9776290227073434
protein,within_real,1.06103481922867
protein,within_real,1.0841457610547738
protein,within_real,1.0271726326198525
protein,within_real,1.0949962983539354
protein,within_real,1.1675986281635884
protein,within_real,1.0405151726547115
protein,within_real,1.2585493884988335
protein,within_real,0.9655872027602923
protein,within_real,1.2303330703120612
protein,within_real,1.1472772145125165
protein,within_real,1.3062259376739405
protein,within_real,1.6662818709883582
protein,within_real,1.1043632876752103
protein,within_real,1.4745765345601785
protein,within_real,1.05615635085959
protein,within_real,1.7267988345725398
protein,within_real,1.6842566900817673
protein,within_real,1.4775978593805468
protein,within_real,1.6331174229497927
protein,within_real,1.1846394403734293
protein,within_real,1.567907586200716
protein,within_real,1.8533107549182688
protein,within_real,0.9344712265618671
protein,within_real,1.155291220860047
protein,within_real,0.7657892420882781
protein,within_real,1.025491629128979
protein,within_real,0.9704113655833353
protein,within_real,0.9208993759637406
protein,within_real,1.0834764673554125
protein,within_real,1.0785840128077302
protein,within_real,1.159142611768315
protein,within_real,1.116826623242451
protein,within_real,1.193805618335529
protein,within_real,0.857841284413491
protein,within_real,1.2077029286891108
protein,within_real,0.8611007250845389
protein,within_real,1.0068847995677668
protein,within_real,1.1158605800578598
protein,within_real,0.9332826462722991
protein,within_real,1.0547201354505733
protein,within_real,1.1312149351921883
protein,within_real,0.9185341656723779
protein,within_real,1.1089570810481915
protein,within_real,0.9748907318407168
protein,within_real,1.165468199402374
protein,within_real,1.149129466958454
protein,within_real,1.280827255893493
protein,within_real,1.1840748839141109
protein,within_real,1.2232757656476823
protein,within_real,1.0339965799250406
protein,within_real,1.153043596337424
protein,within_real,1.311693520985083
protein,within_real,1.0060465329541446
protein,within_real,1.3184459754861093
protein,within_real,1.063241102090082
protein,within_real,1.3133031488714952
protein,within_real,1.31844881903762
protein,within_real,1.4573704344445615
protein,within_real,0.9959085047414505
protein,within_real,0.958802858893801
protein,within_real,0.9492534544453425
protein,within_real,1.2383048472813922
protein,within_real,1.1427626149181294
protein,within_real,1.2376862045918746
protein,within_real,1.1480255732047777
protein,within_real,1.372194412806433
protein,within_real,1.0631413969617929
protein,within_real,1.3096132542597445
protein,within_real,0.9717058441558479
protein,within_real,0.9707546845374302
protein,within_real,1.373705981103813
protein,within_real,1.1657569167711523
protein,within_real,1.4768954662228513
protein,within_real,1.0787700475185031
protein,within_real,1.4613547550762829
protein,within_real,1.1401919297326624
protein,within_real,1.3607362509310041
protein,within_real,1.7899724052233132
protein,within_real,1.0285248029688374
protein,within_real,1.5155678630138305
protein,within_real,0.5635191077982389
protein,within_real,1.0212548672148596
protein,within_real,0.7529438592581066
protein,within_real,0.4238146920502162
protein,within_real,1.5602229089536375
protein,within_real,1.1679162353292227
protein,within_real,1.2761753132419338
protein,within_real,0.8209134244428659
protein,within_real,1.2017595448745542
protein,within_real,1.0732898669103514
protein,within_real,1.3003198316001372
protein,within_real,0.970981360699563
protein,within_real,1.3092454673663119
protein,within_real,1.1278442318207487
protein,within_real,1.3477730383408721
protein,within_real,1.2097040552475569
protein,within_real,1.1617789890676564
protein,within_real,1.3752173239684573
protein,within_real,1.1041032943301554
protein,within_real,1.364864213927712
protein,within_real,1.0287661811861843
protein,within_real,1.3748835843023988
protein,within_real,1.5231098481070289
protein,within_real,1.041650620508099
protein,within_real,1.8175933562692301
protein,within_real,1.7737388979184063
protein,within_real,1.5879392333977373
protein,within_real,1.7475607255727343
protein,within_real,1.0232102743157394
protein,within_real,1.6050815796514157
protein,within_real,1.8945126913214962
protein,within_real,1.1592135764596634
protein,within_real,1.1097381027485818
protein,within_real,1.0524557693414502
protein,within_real,0.7878862841878994
protein,within_real,0.9914176563620666
protein,within_real,1.2389732784705305
protein,within_real,1.0059940037621184
protein,within_real,1.4136061615141335
protein,within_real,1.275258460875104
protein,within_real,1.1866389825176145
protein,within_real,1.2219556120774218
protein,within_real,1.1360341539678043
protein,within_real,1.2103574860806905
protein,within_real,1.306145643459246
protein,within_real,1.543039372496039
protein,within_real,1.5247558122751923
protein,within_real,1.243043542138736
protein,within_real,1.4716337955406655
protein,within_real,0.7938897049250367
protein,within_real,1.2668743520184518
protein,within_real,1.5853495565259017
protein,within_real,1.3023653964925752
protein,within_real,1.00954478625632
protein,within_real,1.1623426836357242
protein,within_real,1.3411209909394315
protein,within_real,1.2481953686125817
protein,within_real,0.8864620845059289
protein,within_real,0.7393206435301357
protein,within_real,0.5953722752301454
protein,within_real,1.5946334216230664
protein,within_real,1.1803055070890287
protein,within_real,1.186974744221927
protein,within_real,0.9144807930315555
protein,within_real,0.9836680202171435
protein,within_real,1.5630282910719078
protein,within_real,1.1823717619557046
protein,within_real,1.279852362652156
protein,within_real,0.6697001025532626
protein,within_real,1.3238475484724197
protein,within_real,0.9339283535495279
protein,within_real,1.320542155532035
protein,within_real,1.4009817777113902
protein,within_real,1.2519257827129833
protein,within_real,1.3520529096414586
protein,within_real,1.423622956674054
protein,within_real,1.53085896170003
protein,within_real,1.1409597317970996
protein,within_real,1.2942033706630256
protein,within_real,1.3604082584428485
protein,within_real,1.6702663840308463
protein,within_real,1.085764945488292
protein,within_real,1.3057027371536207
protein,within_real,1.3377765228626748
protein,within_real,1.2706165036231054
protein,within_real,1.3822186791776765
protein,within_real,1.351919938494667
protein,within_real,1.3600132799643838
protein,within_syn,1.9920237714645022
protein,within_syn,1.9962863574483771
protein,within_syn,1.5128615559617882
protein,within_syn,1.3286923368171673
protein,within_syn,1.4513752779042406
protein,within_syn,1.3483966769327413
protein,within_syn,1.2214215825160188
protein,within_syn,1.9409106342359104
protein,within_syn,1.8407848611780524
protein,within_syn,1.9498195987659879
protein,within_syn,1.1003805088480814
protein,within_syn,1.6956701784152342
protein,within_syn,1.349736912351306
protein,within_syn,1.761065904610061
protein,within_syn,1.3563469148241651
protein,within_syn,1.8814690055180212
protein,within_syn,1.395110658837284
protein,within_syn,1.3968008447378535
protein,within_syn,1.761065904610061
protein,within_syn,1.6956701784152342
protein,within_syn,1.8407848611780524
protein,within_syn,1.3286923368171673
protein,within_syn,1.395110658837284
protein,within_syn,1.9962863574483771
protein,within_syn,1.9409106342359104
protein,within_syn,1.3563469148241651
protein,within_syn,1.5128615559617882
protein,within_syn,1.4513752779042406
protein,within_syn,1.3968008447378535
protein,within_syn,1.8814690055180212
protein,within_syn,1.1003805088480814
protein,within_syn,1.2214215825160188
protein,within_syn,1.349736912351306
protein,within_syn,1.9920237714645022
protein,within_syn,0.0
protein,within_syn,1.9498195987659879
protein,within_syn,1.3483966769327413
protein,within_syn,1.8407848611780524
protein,within_syn,1.5128615559617882
protein,within_syn,1.2214215825160188
protein,within_syn,1.349736912351306
protein,within_syn,1.761065904610061
protein,within_syn,1.6956701784152342
protein,within_syn,1.9962863574483771
protein,within_syn,1.4513752779042406
protein,within_syn,1.3483966769327413
protein,within_syn,1.9498195987659879
protein,within_syn,1.3286923368171673
protein,within_syn,1.9920237714645022
protein,within_syn,1.8814690055180212
protein,within_syn,1.395110658837284
protein,within_syn,0.0
protein,within_syn,1.9409106342359104
protein,within_syn,1.3968008447378535
protein,within_syn,1.1003805088480814
protein,within_syn,1.3563469148241651
protein,within_syn,1.9409106342359104
