modality,panel,pilot,eval_n,true_omega2,power
gene,a,7,10,0.05040851560241758,0.224
gene,a,7,10,0.09931022051214944,0.404
gene,a,7,10,0.16657335602025694,0.696
gene,a,7,10,0.247052291306643,0.876
gene,a,7,10,0.34128708522809925,0.988
gene,a,7,10,0.4287035765499923,0.996
gene,a,7,10,0.4728197813021453,1.0
gene,a,7,10,0.47588837518423593,1.0
gene,a,7,10,0.47437525156623844,1.0
gene,a,10,10,0.0013369585243007943,0.08
gene,a,10,10,0.007985422024377143,0.096
gene,a,10,10,0.04650156588085623,0.212
gene,a,10,10,0.10165796485512021,0.384
gene,a,10,10,0.1972034126580853,0.708
gene,a,10,10,0.24488413693429395,0.788
gene,a,10,10,0.31214888956844705,0.94
gene,a,10,10,0.3507277472471982,0.98
gene,a,10,10,0.4199845089516044,1.0
gene,a,10,10,0.41344255258933216,1.0
gene,a,10,10,0.45167057644520214,1.0
gene,b,10,6,0.00023217664502878893,0.064
gene,b,10,6,0.009661910105648675,0.044
gene,b,10,6,0.048171028149787874,0.124
gene,b,10,6,0.10117400381861258,0.236
gene,b,10,6,0.15944925162172155,0.392
gene,b,10,6,0.23630539685267685,0.628
gene,b,10,6,0.29521620322438885,0.776
gene,b,10,6,0.35383635537381974,0.904
gene,b,10,6,0.412003810134804,0.98
gene,b,10,6,0.4029587098964725,0.984
gene,b,10,6,0.4437540922809334,0.992
gene,b,10,10,0.00023217664502878893,0.064
gene,b,10,10,0.009661910105648675,0.104
gene,b,10,10,0.048171028149787874,0.212
gene,b,10,10,0.10117400381861258,0.436
gene,b,10,10,0.15944925162172155,0.624
gene,b,10,10,0.23630539685267685,0.836
gene,b,10,10,0.29521620322438885,0.952
gene,b,10,10,0.35383635537381974,1.0
gene,b,10,10,0.412003810134804,1.0
gene,b,10,10,0.4029587098964725,1.0
gene,b,10,10,0.4437540922809334,1.0
gene,b,10,30,0.00023217664502878893,0.04
gene,b,10,30,0.009661910105648675,0.164
gene,b,10,30,0.048171028149787874,0.592
gene,b,10,30,0.10117400381861258,0.888
gene,b,10,30,0.15944925162172155,0.996
gene,b,10,30,0.23630539685267685,1.0
gene,b,10,30,0.29521620322438885,1.0
gene,b,10,30,0.35383635537381974,1.0
gene,b,10,30,0.412003810134804,1.0
gene,b,10,30,0.4029587098964725,1.0
gene,b,10,30,0.4437540922809334,1.0
gene,b,10,50,0.00023217664502878893,0.084
gene,b,10,50,0.009661910105648675,0.24
