workflow,eval_n,pilot_n,fit_status,power_at_target_omega2,target_omega2
gene,10,4,ok,0.10061081855953963,0.03
gene,10,7,ok,0.13905287473910324,0.03
gene,10,10,ok,0.09875493008699918,0.03
gene,80,4,ok,0.6696853283123102,0.03
gene,80,7,ok,0.8406869319582051,0.03
gene,80,10,ok,0.7642766518177049,0.03
