workflow,eval_n,pilot_n,reference_pilot_n,mean_abs_power_diff,max_abs_power_diff,power_at_target_diff
gene,10,4,10,0.0058156521583004415,0.009999999999999995,0.0018558884725404512
gene,10,7,10,0.03288529681555572,0.05124892396579506,0.04029794465210407
gene,80,4,10,0.23307802986713375,0.5022959951879775,-0.09459132350539468
gene,80,7,10,0.07523559648052686,0.13095063406715113,0.07641028014050022
