pilot_n,pilot_source,scale,true_omega2,power,mode,k_axes,center_shrinkage,pilot_target_omega2
4,real,0.0,0.00010914104212762886,0.05,dilution,3,0.5682973262584338,0.08637036278452423
4,real,0.16826060974201285,0.0016626493774019346,0.0,dilution,3,0.5682973262584338,0.08637036278452423
4,real,0.18205183667775537,0.003779186932142992,0.1,dilution,3,0.5682973262584338,0.08637036278452423
4,real,0.27393989521473755,0.0064224871343940915,0.25,dilution,3,0.5682973262584338,0.08637036278452423
4,real,0.37368574584301484,0.012913726538350146,0.45,dilution,3,0.5682973262584338,0.08637036278452423
4,real,0.43991570775535976,0.019710163344510638,0.55,dilution,3,0.5682973262584338,0.08637036278452423
4,real,0.4537069346911023,0.016291405804715244,0.5,dilution,3,0.5682973262584338,0.08637036278452423
4,real,0.5091123870899283,0.024549444753468822,0.65,dilution,3,0.5682973262584338,0.08637036278452423
4,real,0.5160080005577996,0.025912878876160075,0.7,dilution,3,0.5682973262584338,0.08637036278452423
4,real,0.5229036140256709,0.0258053160715018,0.65,dilution,3,0.5682973262584338,0.08637036278452423
4,real,0.6113438658287175,0.03492193169993305,0.9,dilution,3,0.5682973262584338,0.08637036278452423
4,real,0.9837069930937656,0.0778319011995184,1.0,dilution,3,0.5682973262584338,0.08637036278452423
7,real,0.0,0.0,0.0,dilution,3,0.8791522998103639,0.39591962598900327
7,real,0.03276049244243001,0.000770363940387937,0.1,dilution,3,0.8791522998103639,0.39591962598900327
7,real,0.035909104567995176,0.0011566502250602558,0.05,dilution,3,0.8791522998103639,0.39591962598900327
7,real,0.13238111562455565,0.011368434219091186,0.1,dilution,3,0.8791522998103639,0.39591962598900327
7,real,0.15006460000418326,0.01466768727763015,0.45,dilution,3,0.8791522998103639,0.39591962598900327
7,real,0.15951043638087872,0.016978056727117895,0.5,dilution,3,0.8791522998103639,0.39591962598900327
7,real,0.16511203702287258,0.016795140045484856,0.3,dilution,3,0.8791522998103639,0.39591962598900327
7,real,0.19454789922001667,0.021279955054583344,0.65,dilution,3,0.8791522998103639,0.39591962598900327
7,real,0.1992708174083644,0.02512552313320644,0.6,dilution,3,0.8791522998103639,0.39591962598900327
7,real,0.20553142989059278,0.026895180566302152,0.85,dilution,3,0.8791522998103639,0.39591962598900327
7,real,0.2314525622731525,0.03559459742635765,0.85,dilution,3,0.8791522998103639,0.39591962598900327
7,real,0.35073370535560944,0.07106635235269176,1.0,dilution,3,0.8791522998103639,0.39591962598900327
10,real,0.0,0.0,0.05,dilution,3,0.9109844203872326,0.3718089690749358
10,real,0.11303036971312284,0.007476892617507592,0.15,dilution,3,0.9109844203872326,0.3718089690749358
