pilot_n,pilot_source,scale,true_omega2,power,mode,k_axes,center_shrinkage,pilot_target_omega2
17,real,0.0,8.587120963100207e-05,0.08333333333333333,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.01611625647674715,0.0,0.08333333333333333,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.02677777999213373,0.0,0.0,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.10173903447628585,0.0002793841807621661,0.0,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.28422464627453053,0.0026343294945163167,0.16666666666666666,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.4129894031502847,0.004776932747092998,0.3333333333333333,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.4343124501810578,0.005821337701864399,0.75,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.45563549721183094,0.008326379349365923,0.3333333333333333,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.54398564169205,0.008987356229289319,0.6666666666666666,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.551093324035641,0.009033270661986982,0.5833333333333334,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.5582010063792321,0.009408854627838924,0.5833333333333334,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.5677881127961688,0.008714011150345499,0.75,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.5891111598269421,0.009655816901038488,0.5833333333333334,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.6372946343189604,0.011624166300651875,0.6666666666666666,dilution,32,0.6931983229635837,0.029767238026151527
17,real,0.7123385362722241,0.017643306967481894,1.0,dilution,32,0.6931983229635837,0.029767238026151527
17,real,1.0475566709885649,0.03078057746957918,1.0,enhancement,32,0.6931983229635837,0.029767238026151527
