workflow,eval_n,pilot_n,reference_pilot_n,mean_abs_power_diff,max_abs_power_diff,power_at_target_diff
gene,10,4,10,0.06108881443391428,0.07615856213683755,-0.06622798200626412
gene,10,7,10,0.05714133777554211,0.058533673099381886,-0.05653785861664298
gene,80,4,10,0.03789809985928898,0.06048780805859569,0.041916061356130685
gene,80,7,10,0.030154414156981967,0.06188413766026746,-0.00973824895530262
