pilot_n,rep,mean_abs_curve_error,omega2_at_80_power,reference_omega2_at_80_power
4,0,0.02930134447887165,0.02101260409987581,0.013666470116679947
4,1,0.03561745363695485,0.020054564549044727,0.013666470116679947
4,2,0.044435540251803386,0.025171841409191747,0.013666470116679947
4,3,0.05512621106078517,0.02790694697962512,0.013666470116679947
4,4,0.01275801034781632,0.01076001587391661,0.013666470116679947
4,5,0.014563453375256724,0.017266701267715248,0.013666470116679947
4,6,0.033238427028548574,0.024296519942675322,0.013666470116679947
4,7,0.04259087039164251,0.022145178251661714,0.013666470116679947
4,8,0.017209867984164063,0.017873102439580194,0.013666470116679947
4,9,0.03536785897220228,0.02268852483280055,0.013666470116679947
4,10,0.023796961963102874,0.019623867815029235,0.013666470116679947
4,11,0.02418080158910717,0.021184779098160227,0.013666470116679947
4,12,0.06337086714278901,0.030044454077278494,0.013666470116679947
4,13,0.02319446932735201,0.019182169789240547,0.013666470116679947
4,14,0.01587450513017956,0.01766898699543822,0.013666470116679947
4,15,0.03128239633710136,0.02184632258949595,0.013666470116679947
4,16,0.025070391936955535,0.019988957879892272,0.013666470116679947
4,17,0.05068610556618625,0.026740171115079623,0.013666470116679947
4,18,0.042909933696605,0.023772394317309105,0.013666470116679947
4,19,0.046925979795334825,0.020753488698044602,0.013666470116679947
7,0,0.014604583660505682,0.01703174358568768,0.013666470116679947
7,1,0.013744375164631267,0.016649222405764812,0.013666470116679947
7,2,0.016999242659032392,0.018065798598916903,0.013666470116679947
7,3,0.009210091255257687,0.01145424677633636,0.013666470116679947
7,4,0.018450610663385318,0.018265919630106056,0.013666470116679947
7,5,0.0026474181319159147,0.013852478812713639,0.013666470116679947
7,6,0.027702828412293625,0.02184019627278339,0.013666470116679947
7,7,0.0018102829877409612,0.014066509850578876,0.013666470116679947
7,8,0.017507192389838572,0.01813830689936602,0.013666470116679947
7,9,0.02316047481428086,0.020145691579339247,0.013666470116679947
7,10,0.01363812011854229,0.016896333379785366,0.013666470116679947
7,11,0.024484200700205263,0.019602150144389076,0.013666470116679947
7,12,0.0029007932118261218,0.013303993273348528,0.013666470116679947
7,13,0.017850803944430886,0.01829548137111492,0.013666470116679947
7,14,0.00815717958908275,0.015137319040237709,0.013666470116679947
7,15,0.011890007266842988,0.016437647048495315,0.013666470116679947
7,16,0.031484125303761074,0.023432070635114252,0.013666470116679947
7,17,0.005674398110147971,0.014988419496610525,0.013666470116679947
7,18,0.007692020012528269,0.015388406931591488,0.013666470116679947
7,19,0.00333958972412356,0.012710229088003032,0.013666470116679947
10,0,0.0017612381825484066,0.013808788914010689,0.013666470116679947
10,1,0.00176157076422731,0.013810003522399443,0.013666470116679947
10,2,0.0017614532284198692,0.013809584430712299,0.013666470116679947
10,3,0.0011303922844632447,0.013651848041825154,0.013666470116679947
10,4,0.0013201794567762816,0.01397739359805133,0.013666470116679947
10,5,0.0017611319050310974,0.013808378906844453,0.013666470116679947
10,6,0.0014431126933866852,0.013837677129951015,0.013666470116679947
10,7,0.0013188862788973714,0.013975348912053568,0.013666470116679947
10,8,0.0013188605926520624,0.013975307310198018,0.013666470116679947
10,9,0.001130142983503273,0.013651890951048757,0.013666470116679947
10,10,0.0013196974769601412,0.013976638908363691,0.013666470116679947
10,11,0.0024177066701054507,0.013961154504409231,0.013666470116679947
10,12,0.0006719105991364166,0.013823981245386266,0.013666470116679947
10,13,0.0011285817955217288,0.013652160184289575,0.013666470116679947
10,14,0.0024171704063076613,0.013960135858266783,0.013666470116679947
10,15,0.0019315137703805748,0.014098094688150863,0.013666470116679947
10,16,0.0006710234063559527,0.013821740639771396,0.013666470116679947
10,17,0.00304940822629309,0.014097135695464736,0.013666470116679947
10,18,0.0017611146069572343,0.01380831125601174,0.013666470116679947
10,19,0.001960651880557099,0.013990262540660759,0.013666470116679947
