workflow,eval_n,pilot_n,fit_status,power_at_target_omega2,target_omega2
gene,10,4,ok,0.11614493761014621,0.03
gene,10,7,ok,0.12251873286642932,0.03
gene,10,10,ok,0.11074160024637143,0.03
gene,80,4,ok,0.9193775163068665,0.03
gene,80,7,ok,0.8357840996936894,0.03
gene,80,10,ok,0.8375399115132836,0.03
