pilot_n,pilot_source,strength,eval_n,true_omega2,power,mode,scenario_index,pool_size_per_group,failed_bootstraps,n_per_group,search_stage
19,real,0.3889,30,0.028278150661504024,0.77,labeled_bootstrap,9,180,0,30,coarse
19,real,0.4021,30,0.04764834988005957,0.91,labeled_bootstrap,10,180,0,30,coarse
19,real,0.4153,30,0.04015614574194104,0.86,labeled_bootstrap,11,180,0,30,coarse
19,real,0.4286,30,0.04878867326534801,0.97,labeled_bootstrap,12,180,0,30,coarse
19,real,0.5714,30,0.06770953298563206,1.0,labeled_bootstrap,13,180,0,30,coarse
19,real,0.7143,30,0.10950827452724614,1.0,labeled_bootstrap,14,180,0,30,coarse
19,real,0.8571,30,0.17213350971894487,1.0,labeled_bootstrap,15,180,0,30,coarse
19,real,1.0,30,0.22525543695778244,1.0,labeled_bootstrap,16,180,0,30,coarse
19,real,0.0,40,0.0,0.05,exchangeable_null,0,180,0,40,coarse
19,real,0.154,40,0.009739118562315604,0.52,labeled_bootstrap,1,180,0,40,coarse
19,real,0.1873,40,0.006906809021771728,0.34,labeled_bootstrap,2,180,0,40,coarse
19,real,0.2636,40,0.022992013862510385,0.89,labeled_bootstrap,3,180,0,40,coarse
19,real,0.3117,40,0.018410237412977325,0.68,labeled_bootstrap,4,180,0,40,coarse
19,real,0.3401,40,0.027980633695437403,0.86,labeled_bootstrap,5,180,0,40,coarse
19,real,0.3624,40,0.03920517516771225,0.93,labeled_bootstrap,6,180,0,40,coarse
19,real,0.3691,40,0.03536296032273986,0.95,labeled_bootstrap,7,180,0,40,coarse
19,real,0.3756,40,0.024068102004024094,0.75,labeled_bootstrap,8,180,0,40,coarse
19,real,0.3889,40,0.028278150661504024,0.91,labeled_bootstrap,9,180,0,40,coarse
19,real,0.4021,40,0.04764834988005957,0.99,labeled_bootstrap,10,180,0,40,coarse
19,real,0.4153,40,0.04015614574194104,1.0,labeled_bootstrap,11,180,0,40,coarse
19,real,0.4286,40,0.04878867326534801,0.97,labeled_bootstrap,12,180,0,40,coarse
19,real,0.5714,40,0.06770953298563206,0.99,labeled_bootstrap,13,180,0,40,coarse
19,real,0.7143,40,0.10950827452724614,1.0,labeled_bootstrap,14,180,0,40,coarse
19,real,0.8571,40,0.17213350971894487,1.0,labeled_bootstrap,15,180,0,40,coarse
19,real,1.0,40,0.22525543695778244,1.0,labeled_bootstrap,16,180,0,40,coarse
19,real,0.0,31,0.0,0.03,exchangeable_null,0,180,0,31,fine
19,real,0.154,31,0.009739118562315604,0.28,labeled_bootstrap,1,180,0,31,fine
19,real,0.1873,31,0.006906809021771728,0.22,labeled_bootstrap,2,180,0,31,fine
19,real,0.2636,31,0.022992013862510385,0.68,labeled_bootstrap,3,180,0,31,fine
19,real,0.3117,31,0.018410237412977325,0.6,labeled_bootstrap,4,180,0,31,fine
19,real,0.3401,31,0.027980633695437403,0.73,labeled_bootstrap,5,180,0,31,fine
