pilot_n,eval_n,scale,true_omega2,power,mode
50,80,0.18828364459336722,0.0016957403269046282,0.0,fixed_midpoint
50,80,0.29777382197324836,0.005553851142519565,0.5,fixed_midpoint
50,80,0.3483517247420256,0.005354429340000757,0.3333333333333333,fixed_midpoint
50,80,0.4285562633979667,0.012703859249019452,0.9166666666666666,fixed_midpoint
50,80,0.463772043376938,0.013421063037452458,0.6666666666666666,fixed_midpoint
50,80,0.46465181605805583,0.011584854090453872,0.5833333333333334,fixed_midpoint
50,80,0.46553158873917366,0.013924612823313972,0.5833333333333334,fixed_midpoint
50,80,0.504468249528618,0.01695941227887701,0.9166666666666666,fixed_midpoint
50,80,0.5586667398245673,0.01807671658488522,0.6666666666666666,fixed_midpoint
50,80,0.6536232169347103,0.023961562391399325,1.0,fixed_midpoint
50,80,0.6884663070729343,0.027699062342381738,0.9166666666666666,fixed_midpoint
50,80,0.7233093972111584,0.029060133372941714,1.0,fixed_midpoint
