pilot_n,weight_mean,weight_median,weight_p90,weight_gt_0_5
7,0.013485020840845977,0.0,0.022135943621178662,0.00019256691700365877
10,0.02037476305360535,0.0,0.04347357099031393,0.00012837794466910585
19,0.027081819527443953,0.013728129459672873,0.06482529426038734,0.0012837794466910586
