pilot_n,eval_n,scale,true_omega2,power,mode
7,80,0.156700576896015,0.0048832002391863555,0.4166666666666667,fixed_midpoint
7,80,0.16933470096841197,0.004646547276662345,0.6666666666666666,fixed_midpoint
7,80,0.1819688250408089,0.004722090988272065,0.25,fixed_midpoint
7,80,0.21482502559705277,0.0057907489101338425,0.25,fixed_midpoint
7,80,0.21588990766522603,0.007577642319213337,0.5833333333333334,fixed_midpoint
7,80,0.21695478973339932,0.007620353413312522,0.5,fixed_midpoint
7,80,0.2221539198309512,0.009103799378385775,0.5,fixed_midpoint
7,80,0.264744103943329,0.011278143664012526,0.5,fixed_midpoint
7,80,0.28184412878225107,0.016197197121670236,0.8333333333333334,fixed_midpoint
7,80,0.2989441536211732,0.014390115845784977,0.3333333333333333,fixed_midpoint
7,80,0.34257833976117186,0.020687516082717364,0.8333333333333334,fixed_midpoint
7,80,0.48007097888714745,0.03531362825155219,1.0,fixed_midpoint
