modality,metric,valid_n,baseline,min,q05,median,mean,q95,max,sd,cv_percent,max_abs_delta_vs_baseline,max_rel_delta_percent_vs_baseline,corr_sigma,corr_nni,max_abs_corr
gene,omega2,400,0.17455402168099313,0.06245958333016892,0.10310745932879001,0.16400756254724977,0.16034557332228666,0.20669211310189728,0.24804010324195355,0.030881179589175245,19.259140710486346,0.11209443835082421,64.21762000745123,-0.3700543448410923,0.01665681433304778,0.3700543448410923
gene,power,400,0.25,0.06,0.14,0.27,0.267025,0.4,0.52,0.07484586919355234,28.029536258235122,0.27,108.0,-0.2663600332218451,0.023750557126694747,0.2663600332218451
