modality,metric,baseline_new,baseline_old,mean_new,mean_old,cv_percent_new,cv_percent_old,max_abs_corr_new,max_abs_corr_old,corr_sigma_new,corr_sigma_old,corr_nni_new,corr_nni_old
gene,omega2,0.1745540216809931,0.1745540216809942,0.1603455733222866,0.1571703526554881,19.259140710486346,21.321863775197357,0.3700543448410923,0.3860588846856379,0.0166568143330477,0.0257497958100108,-0.3700543448410923,-0.3860588846856379
gene,power,0.25,0.19,0.267025,0.264,28.02953625823512,29.626184464768173,0.2663600332218451,0.2894425628482313,0.0237505571266947,0.0153185325687654,-0.2663600332218451,-0.2894425628482313
protein,omega2,0.1180953055887122,0.1180953055887122,0.1180856359424733,0.1180657839736632,3.470700867920008,3.4902472928246087,0.0726637436370326,0.1284974377633687,0.0342140310367814,0.0335640460959812,-0.0726637436370326,-0.1284974377633687
protein,power,0.69,0.73,0.7405000000000002,0.741225,7.489690239471831,7.452430485958464,0.0361610296394248,0.0127700649010921,0.0361610296394248,-0.0001964625369398,0.0050093201232103,0.0127700649010921
