Taxon,Function,HM405CO,HM405TI,HM406CO,HM406TI,HM417CO,HM417TI,HM421CO,HM421TI,HM422CO1,HM422TI1,HM424CO,HM427CO,HM427TI,HM435CO,HM435TI,HM440CO,HM441CO,HM441TI,HM442CO,HM442TI,HM449CO2,HM449TI,HM450DC,HM450TI,HM455DC,HM458DC,HM460DCA,HM464DC,HM464PC,HM465PC,HM465TI,HM466CO,HM466TI,HM467DC,HM467PC,HM467TI,HM472DC,HM482DCA,HM483DCA,HM483PCA,HM483TIA,HM494DC,HM499PC,HM499TIA,HM500CoAC,HM500CoDC,HM502DCN,HM502PCN,HM502TIN,HM504DCN,HM504PCA,HM504TIN,HM505DCA,HM505PCA,HM505TIN,HM513DCN,HM513PCN,HM513TIN,HM514CoN,HM514DCA,HM514TIN,HM518CoN,HM518DCN,HM518TIA,HM520CoN,HM520DCN,HM523CoN,HM523DCN,HM523TIN,HM527CoN,HM527DCN,HM527TIN,HM528CoN,HM528DCN,HM528TIN,HM531CoN,HM531DCN,HM531TIN,HM533CoA,HM533DCA,HM537DCN,HM537PCN,HM537TIN,HM538DCN,HM538PCN,HM539DCA,HM539PCN,HM539TIA,HM540CoN,HM540DCN,HM540TIN,HM543DCA,HM543PCA,HM543TIN1,HM544DCN,HM544PCN,HM544TIN,HM545DCN,HM545TIN,HM550DCA,HM550PCN,HM557DCN,HM557PCN,HM557TIA,HM558DCN,HM558PCN,HM558TIN,HM560DCA,HM560PCA,HM560TIN,HM561DCN,HM561PCN,HM561TIN,HM562DCA,HM562PCN,HM562TIA,HM563DCN,HM563PCN,HM563TIN,HM564DC,HM564PC,HM564TI,HM565DCN,HM565PCN,HM565TIA,HM567DCA,HM567PCA,HM567TIN,HM568DC,HM568PC,HM568TI,HM569DCA,HM569PCA,HM569TIA,HM572DCN,HM572PCN,HM572TIN,HM573DCA,HM573PCA,HM573TIN,HM574DCA,HM574PCN,HM574TIA,HM576DCN,HM576PCN,HM576TI,HM579DCA,HM579PCA,HM579TIA,HM580DC,HM580PC,HM580TI,HM581DCN,HM581PCN,HM581TI,HM582DCA,HM582PCN,HM582TIN,HM588DCN,HM588PCN,HM588TIA,HM590DCN,HM590PCN,HM590TIN,HM594DCN,HM594PCN,HM594TIN,HM599PCN,HM599TIN,HM601DCN,HM601PCA,HM601TIA,HM602DCA,HM602PCA,HM602TIN,HM607DCN,HM607PCN,HM607TIN,HM609DCN,HM609PCN,HM610DCA,HM610PCN,HM610TIN,HM611DCA,HM611PCN,HM611TIN,HM614DCA,HM614PCN,HM614TIA,HM615DCN,HM615PCN,HM615TIA,HM616DCA,HM616PCA,HM617DCA,HM617PCA,HM617TIN,HM620DCA,HM620PCA,HM620TIN,HM621DCA,HM621PCA,HM621TIN
MGYG000000636,COG0822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144950000,0,0,0,0,0,0,0,193860000,0,0,0,0,0,0,0,0,0,336780000,295110000,161860000,0,0,175010000,133670000,0,0,0,0,0,0,0,0,0,0,0,0,0,123000000,291600000,0,0,0,0,0,0,0,73570000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193110000,0,0,0,0,0,0,0,0,0,0,438110000,0,0,0,0,0,0,0,0,64353000,90243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18629000,0,0,0,0,0,0,0,0,0,0,28939000,39686000,0,0,125550000,62413000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163770000,0,0,0,0,0
MGYG000000638,COG0822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8211000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000722,COG0822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10574000,0,14744000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000923,COG0822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32906000,21939000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21687000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18871000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000977,COG0822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36997000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19376000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001210,COG0822,0,0,0,0,0,0,75286000,17141000,12120000,0,0,0,0,0,0,0,0,0,10514000,6933800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10207000,0,0,0,0,194370000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24877000,8349400,0,0,0,0,0,0,4694600,9934300,17988000,0,0,0,0,0,11401000,0,0,0,0,11709000,0,19207000,0,0,0,9765900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10765000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45179000,0,0,0,0,0,0,0,0,0,0,0,15273000,0,0,0,0,0,0,0,38210000,0,0,0,17925000,14917000,0,0,0,0,0,0,19755000,0,0,0,0,0,21623000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9742700,12546000,0,0,0,0,0,0,0,0,0,15643000,5490000,0,0,0,0
MGYG000001246,COG0822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3496800,3206700,0,0,0,0,0,16303000,0,0,0,0,0,0,0,0,5910700,2730500,0,0,0,0,0,0,38329000,0,0,0,0,0,0,26428000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8431300,20370000,0,0,0,9219400,0,0,0,6438100,13263000,13149000,0,3923800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46511000,52732000,35092000,159490000,0,0,0,41324000,29555000,0,0,7775600,0,0,0,0,5886200,6062800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26234000,16132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38408000,15395000,0,0,0,0,0,0,0,0,0,0,0,0,0,9749300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18049000,11270000,29153000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001249,COG0822,0,0,0,0,0,0,81542000,38363000,0,0,0,0,41107000,0,0,0,0,0,0,0,0,0,0,0,108730000,0,0,0,93846000,0,0,0,0,34029000,0,17781000,0,0,228460000,324110000,81083000,0,0,0,75574000,106550000,0,0,0,49617000,34076000,65574000,0,0,0,17302000,0,0,0,0,0,0,0,0,0,0,150080000,345100000,177840000,0,0,0,5422800,7437200,0,0,0,0,0,0,0,0,0,5764500,0,0,0,0,204670000,258800000,3909900,0,0,0,10694000,37734000,18843000,70086000,25507000,0,0,0,0,0,114410000,305500000,117810000,60016000,51659000,0,0,0,0,0,0,0,28485000,0,11670000,0,0,0,103690000,55158000,75306000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20242000,35994000,12026000,0,0,0,0,14610000,9849500,0,0,0,0,0,0,0,0,0,0,0,0,82335000,55854000,71883000,39468000,66826000,0,0,0,0,0,0,0,0,0,0,0,121250000,47023000,0,0,150500000,67851000,0,39189000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001310,COG0822,0,0,0,0,80371000,275350000,333660000,289700000,0,0,0,137270000,151330000,0,65397000,0,0,0,87792000,103130000,0,0,0,0,139620000,0,0,0,138540000,0,0,15817000,10757000,79083000,58274000,37449000,0,124860000,186310000,122090000,98185000,20525000,29255000,70215000,394980000,358740000,548670000,614190000,453670000,34342000,0,346840000,0,0,0,408600000,291380000,133410000,147150000,104600000,8921900,0,0,0,0,0,227060000,335460000,202350000,0,0,0,0,41293000,40026000,24095000,58759000,140360000,0,0,306860000,97581000,477100000,178660000,76311000,0,0,0,165580000,140040000,0,28603000,0,0,828960000,879360000,358540000,671660000,408020000,88253000,97965000,557370000,677040000,137480000,114230000,849390000,241040000,0,56054000,0,26107000,0,8929100,23314000,55294000,34760000,21971000,8164600,37345000,0,0,0,204640000,44259000,0,0,0,0,20909000,90595000,0,0,0,0,0,0,13710000,0,0,0,0,0,0,0,0,0,385450000,165680000,52357000,39088000,60275000,54287000,130100000,0,26275000,52762000,0,9781300,0,0,0,221490000,151640000,44958000,58264000,39400000,0,22970000,23427000,0,0,0,0,0,0,0,92974000,35855000,143430000,184220000,29961000,252170000,0,0,219270000,157130000,0,0,0,0,0,0,0,0,0,0,0,13361000,0,0,0,0,0
MGYG000001310,COG0822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35891000,0,47116000,0,0,0,0,0,0,0,0,0,0,0,0,9763600,7584800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11337000,12520000,0,0,0,0,63817000,42431000,53449000,0,0,0,0,0,0,0,0,17963000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11057000,14858000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
